experiment_name,phase,group,hidden_size,dropout,learning_rate,best_val_loss,total_epochs,early_stopped,test_mse,test_rmse,test_r2,dir_acc,sharpe_ratio,auc_roc,alpha,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,problematic_pct,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,pred_std,num_unique,pct_positive,pct_negative,composite_score,evaluated
vix2r_d025_t15_dirw05,05b_regime_with_penalties,other,16,0.25,0.0005,0.3763943910598755,97,True,1.2197202444076538,1.1044094562530518,-0.038072824478149414,0.517160686427457,0.6859252994744622,0.49938689647239076,-0.2912139892578125,27.379095163806554,8.814352574102964,63.80655226209049,0.0,0.0,72.62090483619346,False,False,True,True,0.18889402777239797,1280,81.43525741029642,18.564742589703588,0.5165475828998478,True
vix2r_d025_t15_dirw1,05b_regime_with_penalties,other,16,0.25,0.0005,0.3773741126060486,97,True,1.2197202444076538,1.1044094562530518,-0.038072824478149414,0.517160686427457,0.6859252994744622,0.49938689647239076,-0.2912139892578125,27.379095163806554,8.814352574102964,63.80655226209049,0.0,0.0,72.62090483619346,False,False,True,True,0.18889402777239797,1280,81.43525741029642,18.564742589703588,0.5165475828998478,True
vix2r_d025_t15_dirw1_extw5p90,05b_regime_with_penalties,other,16,0.25,0.0005,0.8488088846206665,86,True,1.1758586168289185,1.0843701362609863,-0.0007433891296386719,0.5374414976599063,0.8380294796085687,0.4783308898934595,0.0,2.3400936037441498,0.0,83.54134165366615,0.5460218408736349,13.57254290171607,97.65990639625585,True,True,False,True,0.060758169639827046,1275,100.0,0.0,0.5157723875533659,True
vix2r_d025_t15_dirw2,05b_regime_with_penalties,other,16,0.25,0.0005,0.3793334364891052,97,True,1.2197202444076538,1.1044094562530518,-0.038072824478149414,0.517160686427457,0.6859252994744622,0.49938689647239076,-0.2912139892578125,27.379095163806554,8.814352574102964,63.80655226209049,0.0,0.0,72.62090483619346,False,False,True,True,0.18889402777239797,1280,81.43525741029642,18.564742589703588,0.5165475828998478,True
vix2r_d025_t15_dirw2_extw5p90,05b_regime_with_penalties,other,16,0.25,0.0005,0.852186381816864,83,True,1.1761443614959717,1.08450186252594,-0.0009865760803222656,0.5374414976599063,0.8380294796085687,0.47858543187697794,0.0,2.3400936037441498,0.0,83.46333853354135,0.234009360374415,13.962558502340094,97.65990639625585,True,True,False,True,0.05984063078500685,1275,100.0,0.0,0.5160269295368842,True
vix2r_d025_t15_extw5p90,05b_regime_with_penalties,other,16,0.25,0.0005,0.8468496799468994,86,True,1.1758586168289185,1.0843701362609863,-0.0007433891296386719,0.5374414976599063,0.8380294796085687,0.4783308898934595,0.0,2.3400936037441498,0.0,83.54134165366615,0.5460218408736349,13.57254290171607,97.65990639625585,True,True,False,True,0.060758169639827046,1275,100.0,0.0,0.5157723875533659,True
vix2r_d025_t20_dirw05,05b_regime_with_penalties,other,16,0.25,0.0005,0.3769952356815338,88,True,1.36738920211792,1.1693542003631592,-0.1637500524520874,0.4797191887675507,0.590236718700928,0.4929964241746354,-0.4557877779006958,58.19032761310452,9.048361934477379,32.761310452418094,0.0,0.0,41.80967238689547,False,False,True,True,0.40369781007006333,1279,42.43369734789392,57.56630265210608,0.4727156129421861,True
vix2r_d025_t20_dirw1,05b_regime_with_penalties,other,16,0.25,0.0005,0.37948569655418396,88,True,1.36738920211792,1.1693542003631592,-0.1637500524520874,0.4797191887675507,0.590236718700928,0.4929964241746354,-0.4557877779006958,58.19032761310452,9.048361934477379,32.761310452418094,0.0,0.0,41.80967238689547,False,False,True,True,0.40369781007006333,1279,42.43369734789392,57.56630265210608,0.4727156129421861,True
vix2r_d025_t20_dirw1_extw5p90,05b_regime_with_penalties,other,16,0.25,0.0005,0.7948493957519531,83,True,1.5426939725875854,1.2420523166656494,-0.31294751167297363,0.4797191887675507,0.6699121419575192,0.48084938701884833,-0.4384826421737671,47.81591263650546,3.0421216848673946,35.725429017160685,1.1700468018720749,12.246489859594384,52.18408736349454,True,True,True,True,0.4613460128733194,1275,29.017160686427456,70.98283931357254,0.46056857578639904,True
vix2r_d025_t20_dirw2,05b_regime_with_penalties,other,16,0.25,0.0005,0.38446667790412903,88,True,1.36738920211792,1.1693542003631592,-0.1637500524520874,0.4797191887675507,0.590236718700928,0.4929964241746354,-0.4557877779006958,58.19032761310452,9.048361934477379,32.761310452418094,0.0,0.0,41.80967238689547,False,False,True,True,0.40369781007006333,1279,42.43369734789392,57.56630265210608,0.4727156129421861,True
