experiment_name,phase,group,hidden_size,dropout,learning_rate,encoder_length,attention_heads,batch_size,created_at,best_val_loss,total_epochs,early_stopped,test_mse,test_rmse,test_mae,test_r2,dir_acc,sharpe_ratio,max_drawdown,total_return,num_trades,precision,recall,f1_score,auc_roc,alpha,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,healthy_days,degraded_days,unidirectional_days,weak_collapse_days,strong_collapse_days,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,problematic_pct,predicted_down,predicted_up,pct_down_predictions,pct_up_predictions,evaluated,collapse_type,pred_std,pred_mean,pred_min,pred_max,num_unique,num_positive,num_negative,num_zero,pct_positive,pct_negative,collapsed,composite_score
vix2r_d010_t20_dirw2_extw5p90,05b_regime_with_penalties,other,16,0.1,0.0005,20,2,64,2025-11-29T00:04:52.674119,0.8183612823486328,68,True,1.4498502016067505,1.2040972709655762,0.9450341463088989,-0.2339305877685547,0.4789391575663027,0.824324031101832,-0.1015661433339119,0.5913630723953247,319,0.5329153605015674,0.2467343976777939,0.33730158730158727,0.4844741627649134,-0.3398926258087158,40.79563182527301,3.6661466458658345,50.858034321372855,0.31201248049922,4.368174726989079,,,,,,True,True,True,True,59.204368174726994,963,319,0.751170046801872,0.24882995319812792,True,,0.37077639879128826,-0.353226525724241,-0.6931586,0.36467057,1280,319,963,0,24.882995319812792,75.11700468018721,False,0.46341332033121607
vix2r_d010_t20_extw5p90,05b_regime_with_penalties,other,16,0.1,0.0005,20,2,64,2025-11-29T00:03:18.977756,0.8081262111663818,68,True,1.4498502016067505,1.2040972709655762,0.9450341463088989,-0.2339305877685547,0.4789391575663027,0.824324031101832,-0.1015661433339119,0.5913630723953247,319,0.5329153605015674,0.2467343976777939,0.33730158730158727,0.4844741627649134,-0.3398926258087158,40.79563182527301,3.6661466458658345,50.858034321372855,0.31201248049922,4.368174726989079,,,,,,True,True,True,True,59.204368174726994,963,319,0.751170046801872,0.24882995319812792,True,,0.37077639879128826,-0.353226525724241,-0.6931586,0.36467057,1280,319,963,0,24.882995319812792,75.11700468018721,False,0.46341332033121607
vix2r_d025_t15_dirw05,05b_regime_with_penalties,other,16,0.25,0.0005,20,2,64,2025-11-29T00:23:24.367432,0.3763943910598755,97,True,1.2197202444076538,1.1044094562530518,0.7967544794082642,-0.038072824478149414,0.517160686427457,0.6859252994744622,-0.2524595558643341,0.640041708946228,1044,0.5335249042145593,0.8084179970972424,0.6428159261396422,0.49938689647239076,-0.2912139892578125,27.379095163806554,8.814352574102964,63.80655226209049,0.0,0.0,,,,,,False,False,True,True,72.62090483619346,238,1044,0.1856474258970359,0.8143525741029641,True,,0.18889402777239797,0.11660116780455539,-0.34494284,0.26955992,1280,1044,238,0,81.43525741029642,18.564742589703588,False,0.5165475828998478
vix2r_d025_t15_dirw1,05b_regime_with_penalties,other,16,0.25,0.0005,20,2,64,2025-11-29T00:28:26.322277,0.3773741126060486,97,True,1.2197202444076538,1.1044094562530518,0.7967544794082642,-0.038072824478149414,0.517160686427457,0.6859252994744622,-0.2524595558643341,0.640041708946228,1044,0.5335249042145593,0.8084179970972424,0.6428159261396422,0.49938689647239076,-0.2912139892578125,27.379095163806554,8.814352574102964,63.80655226209049,0.0,0.0,,,,,,False,False,True,True,72.62090483619346,238,1044,0.1856474258970359,0.8143525741029641,True,,0.18889402777239797,0.11660116780455539,-0.34494284,0.26955992,1280,1044,238,0,81.43525741029642,18.564742589703588,False,0.5165475828998478
vix2r_d025_t15_dirw1_extw5p90,05b_regime_with_penalties,other,16,0.25,0.0005,20,2,64,2025-11-29T00:58:03.168014,0.8488088846206665,86,True,1.1758586168289185,1.0843701362609863,0.7723657488822937,-0.0007433891296386719,0.5374414976599063,0.8380294796085687,-0.2524595558643341,0.9312556982040405,1282,0.5374414976599063,1.0,0.6991374936580415,0.4783308898934595,0.0,2.3400936037441498,0.0,83.54134165366615,0.5460218408736349,13.57254290171607,,,,,,True,True,False,True,97.65990639625585,0,1282,0.0,1.0,True,,0.060758169639827046,0.07079151955936039,0.0043274686,0.2496683,1275,1282,0,0,100.0,0.0,True,0.5157723875533659
vix2r_d025_t15_dirw2,05b_regime_with_penalties,other,16,0.25,0.0005,20,2,64,2025-11-29T00:28:28.772083,0.3793334364891052,97,True,1.2197202444076538,1.1044094562530518,0.7967544794082642,-0.038072824478149414,0.517160686427457,0.6859252994744622,-0.2524595558643341,0.640041708946228,1044,0.5335249042145593,0.8084179970972424,0.6428159261396422,0.49938689647239076,-0.2912139892578125,27.379095163806554,8.814352574102964,63.80655226209049,0.0,0.0,,,,,,False,False,True,True,72.62090483619346,238,1044,0.1856474258970359,0.8143525741029641,True,,0.18889402777239797,0.11660116780455539,-0.34494284,0.26955992,1280,1044,238,0,81.43525741029642,18.564742589703588,False,0.5165475828998478
vix2r_d025_t15_dirw2_extw5p90,05b_regime_with_penalties,other,16,0.25,0.0005,20,2,64,2025-11-29T01:01:04.919764,0.852186381816864,83,True,1.1761443614959717,1.08450186252594,0.7721608877182007,-0.0009865760803222656,0.5374414976599063,0.8380294796085687,-0.2524595558643341,0.9312556982040405,1282,0.5374414976599063,1.0,0.6991374936580415,0.47858543187697794,0.0,2.3400936037441498,0.0,83.46333853354135,0.234009360374415,13.962558502340094,,,,,,True,True,False,True,97.65990639625585,0,1282,0.0,1.0,True,,0.05984063078500685,0.07845382625546021,0.014708228,0.25396127,1275,1282,0,0,100.0,0.0,True,0.5160269295368842
vix2r_d025_t15_extw5p90,05b_regime_with_penalties,other,16,0.25,0.0005,20,2,64,2025-11-29T00:30:00.955822,0.8468496799468994,86,True,1.1758586168289185,1.0843701362609863,0.7723657488822937,-0.0007433891296386719,0.5374414976599063,0.8380294796085687,-0.2524595558643341,0.9312556982040405,1282,0.5374414976599063,1.0,0.6991374936580415,0.4783308898934595,0.0,2.3400936037441498,0.0,83.54134165366615,0.5460218408736349,13.57254290171607,,,,,,True,True,False,True,97.65990639625585,0,1282,0.0,1.0,True,,0.060758169639827046,0.07079151955936039,0.0043274686,0.2496683,1275,1282,0,0,100.0,0.0,True,0.5157723875533659
vix2r_d025_t20_dirw05,05b_regime_with_penalties,other,16,0.25,0.0005,20,2,64,2025-11-29T01:03:37.089840,0.3769952356815338,88,True,1.36738920211792,1.1693542003631592,0.892217218875885,-0.1637500524520874,0.4797191887675507,0.590236718700928,-0.19460758566856384,0.4754679203033447,544,0.5202205882352942,0.4107402031930334,0.4590429845904299,0.4929964241746354,-0.4557877779006958,58.19032761310452,9.048361934477379,32.761310452418094,0.0,0.0,,,,,,False,False,True,True,41.80967238689547,738,544,0.5756630265210608,0.4243369734789392,True,,0.40369781007006333,-0.15008916112550702,-0.6167767,0.38580084,1279,544,738,0,42.43369734789392,57.56630265210608,False,0.4727156129421861
vix2r_d025_t20_dirw1,05b_regime_with_penalties,other,16,0.25,0.0005,20,2,64,2025-11-29T01:03:39.257407,0.37948569655418396,88,True,1.36738920211792,1.1693542003631592,0.892217218875885,-0.1637500524520874,0.4797191887675507,0.590236718700928,-0.19460758566856384,0.4754679203033447,544,0.5202205882352942,0.4107402031930334,0.4590429845904299,0.4929964241746354,-0.4557877779006958,58.19032761310452,9.048361934477379,32.761310452418094,0.0,0.0,,,,,,False,False,True,True,41.80967238689547,738,544,0.5756630265210608,0.4243369734789392,True,,0.40369781007006333,-0.15008916112550702,-0.6167767,0.38580084,1279,544,738,0,42.43369734789392,57.56630265210608,False,0.4727156129421861
vix2r_d025_t20_dirw1_extw5p90,05b_regime_with_penalties,other,16,0.25,0.0005,20,2,64,2025-11-29T01:35:14.934787,0.7948493957519531,83,True,1.5426939725875854,1.2420523166656494,0.9872269630432129,-0.31294751167297363,0.4797191887675507,0.6699121419575192,-0.1472964733839035,0.49277305603027344,372,0.5295698924731183,0.28592162554426703,0.3713477851083883,0.48084938701884833,-0.4384826421737671,47.81591263650546,3.0421216848673946,35.725429017160685,1.1700468018720749,12.246489859594384,,,,,,True,True,True,True,52.18408736349454,910,372,0.7098283931357254,0.29017160686427457,True,,0.4613460128733194,-0.37585198794383773,-0.75426024,0.44176447,1275,372,910,0,29.017160686427456,70.98283931357254,False,0.46056857578639904
vix2r_d025_t20_dirw2,05b_regime_with_penalties,other,16,0.25,0.0005,20,2,64,2025-11-29T01:29:10.880899,0.38446667790412903,88,True,1.36738920211792,1.1693542003631592,0.892217218875885,-0.1637500524520874,0.4797191887675507,0.590236718700928,-0.19460758566856384,0.4754679203033447,544,0.5202205882352942,0.4107402031930334,0.4590429845904299,0.4929964241746354,-0.4557877779006958,58.19032761310452,9.048361934477379,32.761310452418094,0.0,0.0,,,,,,False,False,True,True,41.80967238689547,738,544,0.5756630265210608,0.4243369734789392,True,,0.40369781007006333,-0.15008916112550702,-0.6167767,0.38580084,1279,544,738,0,42.43369734789392,57.56630265210608,False,0.4727156129421861
vix2r_d025_t20_dirw2_extw5p90,05b_regime_with_penalties,other,16,0.25,0.0005,20,2,64,2025-11-29T01:35:46.493413,0.7988542914390564,83,True,1.5426939725875854,1.2420523166656494,0.9872269630432129,-0.31294751167297363,0.4797191887675507,0.6699121419575192,-0.1472964733839035,0.49277305603027344,372,0.5295698924731183,0.28592162554426703,0.3713477851083883,0.48084938701884833,-0.4384826421737671,47.81591263650546,3.0421216848673946,35.725429017160685,1.1700468018720749,12.246489859594384,,,,,,True,True,True,True,52.18408736349454,910,372,0.7098283931357254,0.29017160686427457,True,,0.4613460128733194,-0.37585198794383773,-0.75426024,0.44176447,1275,372,910,0,29.017160686427456,70.98283931357254,False,0.46056857578639904
vix2r_d025_t20_extw5p90,05b_regime_with_penalties,other,16,0.25,0.0005,20,2,64,2025-11-29T01:31:42.903380,0.7908443212509155,83,True,1.5426939725875854,1.2420523166656494,0.9872269630432129,-0.31294751167297363,0.4797191887675507,0.6699121419575192,-0.1472964733839035,0.49277305603027344,372,0.5295698924731183,0.28592162554426703,0.3713477851083883,0.48084938701884833,-0.4384826421737671,47.81591263650546,3.0421216848673946,35.725429017160685,1.1700468018720749,12.246489859594384,,,,,,True,True,True,True,52.18408736349454,910,372,0.7098283931357254,0.29017160686427457,True,,0.4613460128733194,-0.37585198794383773,-0.75426024,0.44176447,1275,372,910,0,29.017160686427456,70.98283931357254,False,0.46056857578639904
vix3r_d010_t14_23_dirw1,05b_regime_with_penalties,other,16,0.1,0.0005,20,2,64,2025-11-29T01:59:48.543965,0.36953839659690857,69,True,1.313011884689331,1.1458673477172852,0.8600727915763855,-0.11747097969055176,0.4765990639625585,0.4780489913105385,-0.14729662239551544,0.3123563528060913,328,0.5274390243902439,0.251088534107402,0.3402163225172075,0.4885076741960511,-0.6188993453979492,59.75039001560063,8.580343213728549,31.669266770670827,0.0,0.0,,,,,,False,False,True,True,40.24960998439938,954,328,0.7441497659906396,0.25585023400936036,True,,0.34279886677638416,-0.15320357501700468,-0.46946016,0.5863543,1278,328,954,0,25.585023400936034,74.41497659906396,False,0.46510673815860964
vix3r_d010_t14_23_dirw2,05b_regime_with_penalties,other,16,0.1,0.0005,20,2,64,2025-11-29T02:00:20.482606,0.37082821130752563,81,True,1.3135359287261963,1.1460959911346436,0.8605560660362244,-0.11791706085205078,0.47737909516380655,0.4899756239094132,-0.14729660749435425,0.3203052282333374,319,0.5297805642633229,0.24528301886792453,0.33531746031746035,0.486304907030988,-0.6109504699707031,60.14040561622465,8.424336973478939,31.435257410296412,0.0,0.0,,,,,,False,False,True,True,39.85959438377535,963,319,0.751170046801872,0.24882995319812792,True,,0.3425136628468694,-0.15431208206911076,-0.46581295,0.595135,1279,319,963,0,24.882995319812792,75.11700468018721,False,0.46368400219479455
