evaluation_timestamp,collapse_detected,degradation_detected,checkpoint_used,frequency,max_prediction_length,fold_id,test_year,test_start,test_end,train_years,pred_min,pred_max,pred_mean,pred_std,pred_range,pred_num_unique,pred_pct_positive,pred_pct_negative,pred_num_predictions,mse,rmse,mae,mape,r2,mean_error,std_error,directional_accuracy,sharpe_ratio,max_drawdown,total_return,hit_rate,num_trades,precision,recall,f1_score,confusion_matrix,auc_roc,alpha,healthy_periods,degraded_periods,unidirectional_periods,weak_collapse_periods,strong_collapse_periods,total_periods,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,experiment
2025-12-14T03:20:20.067439,True,False,experiments/12c_h1_rolling/macro_heavy_daily_h1_d005/fold_2024/checkpoints/tft-epoch=epoch=15-valloss=val_loss=0.3557.ckpt,daily,1,fold_2024,2024,2024-01-01,2024-12-31,10,0.06686824560165405,0.0751773864030838,0.06950423866510391,0.0019831506069749594,0.008309140801429749,199,100.0,0.0,200,0.6695123314857483,0.8182373046875,0.6106764674186707,185.79347133636475,0.00011873245239257812,0.017380448058247566,0.8180527091026306,0.565,1.6855375799170806,-0.08485137671232224,0.18174850940704346,0.565,200,0.565,1.0,0.7220447284345047,"[[0, 87], [0, 113]]",0.5198860746617842,0.0,29,0,0,157,14,200,14.499999999999998,0.0,0.0,78.5,7.000000000000001,macro_heavy_daily_h1_d005
2025-12-14T01:28:25.514560,False,True,experiments/12c_h1_rolling/macro_heavy_daily_h1_h18/fold_2016/checkpoints/tft-epoch=epoch=62-valloss=val_loss=0.3740.ckpt,daily,1,fold_2016,2016,2016-01-01,2016-12-31,10,0.011369355022907257,0.14732173085212708,0.07614156603813171,0.030093714594841003,0.13595238327980042,199,100.0,0.0,200,0.6024657487869263,0.7761866450309753,0.5488833785057068,200.74470043182373,0.0008857846260070801,-0.016928432509303093,0.776002049446106,0.51,1.2104857776503184,-0.05595732107758522,0.11891007423400879,0.51,200,0.51,1.0,0.6754966887417219,"[[0, 98], [0, 102]]",0.476390556222489,0.0,30,0,170,0,0,200,15.0,0.0,85.0,0.0,0.0,macro_heavy_daily_h1_h18
2025-12-14T01:42:56.113820,True,True,experiments/12c_h1_rolling/macro_heavy_daily_h1_h18/fold_2017/checkpoints/tft-epoch=epoch=43-valloss=val_loss=0.3061.ckpt,daily,1,fold_2017,2017,2017-01-01,2017-12-31,10,-0.011362381279468536,0.05405070632696152,0.0006115922587923706,0.012216933071613312,0.06541308760643005,199,40.5,59.5,200,0.18340140581130981,0.4282538890838623,0.2960543632507324,101.55187845230103,-0.013735651969909668,0.06028042733669281,0.4239901900291443,0.48,2.254646901219159,-0.027967944741249084,0.0898979902267456,0.24,81,0.5925925925925926,0.40336134453781514,0.48,"[[48, 33], [71, 48]]",0.4918560016599232,-0.03752756118774414,171,21,0,8,0,200,85.5,10.5,0.0,4.0,0.0,macro_heavy_daily_h1_h18
2025-12-14T01:58:20.178458,True,True,experiments/12c_h1_rolling/macro_heavy_daily_h1_h18/fold_2018/checkpoints/tft-epoch=epoch=05-valloss=val_loss=0.1914.ckpt,daily,1,fold_2018,2018,2018-01-01,2018-12-31,10,0.08663653582334518,0.11340160667896271,0.09609849005937576,0.005453688092529774,0.026765070855617523,199,100.0,0.0,199,0.9800252318382263,0.9899622201919556,0.6913671493530273,196.38986587524414,-0.011999011039733887,-0.10301827639341354,0.984587550163269,0.5226130653266332,-0.11162565834681244,-0.09842368215322495,-0.02319413423538208,0.5226130653266332,199,0.5226130653266332,1.0,0.6864686468646866,"[[0, 95], [0, 104]]",0.49180161943319844,0.0,30,0,34,108,27,199,15.07537688442211,0.0,17.08542713567839,54.2713567839196,13.5678391959799,macro_heavy_daily_h1_h18
2025-12-14T02:13:57.482691,True,True,experiments/12c_h1_rolling/macro_heavy_daily_h1_h18/fold_2019/checkpoints/tft-epoch=epoch=59-valloss=val_loss=0.3771.ckpt,daily,1,fold_2019,2019,2019-01-01,2019-12-31,10,0.01299977581948042,0.11726796627044678,0.04056870564818382,0.026681456714868546,0.10426819324493408,199,100.0,0.0,200,0.5999743342399597,0.7745801210403442,0.5632286071777344,114.33359384536743,0.006070196628570557,0.04005386307835579,0.7735437750816345,0.585,1.6472836498754606,-0.06836147606372833,0.1678025722503662,0.585,200,0.585,1.0,0.7381703470031545,"[[0, 83], [0, 117]]",0.5125115848007414,0.0,30,0,169,1,0,200,15.0,0.0,84.5,0.5,0.0,macro_heavy_daily_h1_h18
2025-12-14T02:29:31.213348,False,True,experiments/12c_h1_rolling/macro_heavy_daily_h1_h18/fold_2020/checkpoints/tft-epoch=epoch=57-valloss=val_loss=0.3023.ckpt,daily,1,fold_2020,2020,2020-01-01,2020-12-31,10,0.009705107659101486,0.1514836549758911,0.10860543698072433,0.036363985389471054,0.14177854359149933,200,100.0,0.0,201,5.788267135620117,2.405881881713867,1.5560591220855713,113.11079263687134,-0.00027930736541748047,-0.04420703649520874,2.405475616455078,0.572139303482587,0.424973576464598,-0.3392496705055237,0.07327389717102051,0.572139303482587,201,0.572139303482587,1.0,0.7278481012658228,"[[0, 86], [0, 115]]",0.4541961577350859,0.0,30,0,171,0,0,201,14.925373134328357,0.0,85.07462686567165,0.0,0.0,macro_heavy_daily_h1_h18
2025-12-14T02:45:09.225398,False,True,experiments/12c_h1_rolling/macro_heavy_daily_h1_h18/fold_2021/checkpoints/tft-epoch=epoch=99-valloss=val_loss=0.9385.ckpt,daily,1,fold_2021,2021,2021-01-01,2021-12-31,10,0.09493657946586609,0.17167191207408905,0.1386505365371704,0.016602689400315285,0.07673533260822296,200,100.0,0.0,200,0.5549392700195312,0.7449424862861633,0.5567424297332764,182.54743814468384,-0.0008246898651123047,-0.02412000484764576,0.7445518374443054,0.575,2.4416189364517393,-0.05212545022368431,0.250307559967041,0.575,200,0.575,1.0,0.7301587301587301,"[[0, 85], [0, 115]]",0.4623017902813299,0.0,30,0,170,0,0,200,15.0,0.0,85.0,0.0,0.0,macro_heavy_daily_h1_h18
2025-12-14T02:59:29.458286,True,True,experiments/12c_h1_rolling/macro_heavy_daily_h1_h18/fold_2022/checkpoints/tft-epoch=epoch=12-valloss=val_loss=0.3132.ckpt,daily,1,fold_2022,2022,2022-01-01,2022-12-31,10,0.09271623194217682,0.11542552709579468,0.10736744105815887,0.0058340951800346375,0.02270929515361786,198,100.0,0.0,199,2.5846803188323975,1.607694149017334,1.2808512449264526,112.16360330581665,-0.009229063987731934,-0.16149428486824036,1.599562406539917,0.4472361809045226,-0.53691375574447,-0.2258353978395462,-0.12476766109466553,0.4472361809045226,199,0.4472361809045226,1.0,0.6180555555555556,"[[0, 110], [0, 89]]",0.526046986721144,0.0,30,0,49,112,8,199,15.07537688442211,0.0,24.623115577889447,56.28140703517588,4.0201005025125625,macro_heavy_daily_h1_h18
2025-12-14T03:14:10.412329,False,True,experiments/12c_h1_rolling/macro_heavy_daily_h1_h18/fold_2023/checkpoints/tft-epoch=epoch=56-valloss=val_loss=0.6805.ckpt,daily,1,fold_2023,2023,2023-01-01,2023-12-31,10,0.008633080869913101,0.20825280249118805,0.09743017703294754,0.05741220340132713,0.19961972534656525,199,100.0,0.0,199,0.6973429322242737,0.8350706100463867,0.6638785004615784,191.03071689605713,-0.0005517005920410156,-0.04711723327636719,0.8337402939796448,0.5226130653266332,0.956701713786933,-0.1083863377571106,0.09764766693115234,0.5226130653266332,199,0.5226130653266332,1.0,0.6864686468646866,"[[0, 95], [0, 104]]",0.5109311740890689,0.0,29,1,169,0,0,199,14.572864321608039,0.5025125628140703,84.92462311557789,0.0,0.0,macro_heavy_daily_h1_h18
2025-12-14T03:27:25.067406,True,True,experiments/12c_h1_rolling/macro_heavy_daily_h1_h18/fold_2024/checkpoints/tft-epoch=epoch=19-valloss=val_loss=0.3545.ckpt,daily,1,fold_2024,2024,2024-01-01,2024-12-31,10,0.03356214612722397,0.1387474238872528,0.05986643210053444,0.029148219153285027,0.10518527776002884,197,100.0,0.0,200,0.6676913499832153,0.8171238303184509,0.611571192741394,171.63320779800415,0.0028382539749145508,0.02701825089752674,0.8166770339012146,0.565,1.6855375799170806,-0.08485137671232224,0.18174850940704346,0.565,200,0.565,1.0,0.7220447284345047,"[[0, 87], [0, 113]]",0.48814973044451226,0.0,29,1,144,12,14,200,14.499999999999998,0.5,72.0,6.0,7.000000000000001,macro_heavy_daily_h1_h18
