experiment_name_attention,period_type,n_periods,avg_entropy,std_entropy,min_entropy,max_entropy,avg_concentration,entropy_trend,top_timestep,phase_prefix,exp_name_only,experiment_name_collapse,phase,dir_acc,sharpe_ratio,test_rmse,test_mae,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,problematic_pct,pred_std,composite_score,collapsed,collapse_type
00_baseline_exploration/sweep2_h16_lr_0.0006,yearly,6,2.8195363680521646,0.12409412969187289,2.5799574851989746,2.956671953201294,0.05097861712177595,0.032592051369803345,19,00_baseline_exploration,sweep2_h16_lr_0.0006,sweep2_h16_lr_0.0006,00_baseline_exploration,0.53515625,0.8763055269443439,1.0829553604125977,0.7711097002029419,True,False,True,True,33.125,5.625,59.68750000000001,1.5625,0.0,66.875,0.0503335455682066,0.5631551503193493,False,
00_baseline_exploration/sweep2_h16_drop_0.05,yearly,6,2.7755518356959024,0.13997093278229977,2.5077290534973145,2.919240713119507,0.053453126922249794,0.04009093557085312,19,00_baseline_exploration,sweep2_h16_drop_0.05,sweep2_h16_drop_0.05,00_baseline_exploration,0.5296875,0.8048062877928472,1.082661271095276,0.772081732749939,True,False,True,True,61.64062500000001,14.609375,21.5625,2.1875,0.0,38.359375,0.0686802446090813,0.5528728428278975,False,
00_baseline_exploration/exp006_monthly,yearly,5,2.483024263381958,0.0010382019480768658,2.481170892715454,2.483931541442871,0.0835591971874237,-0.0003064393997195972,0,00_baseline_exploration,exp006_monthly,exp006_monthly,00_baseline_exploration,0.6274509803921569,3.274471076839194,4.600127220153809,3.790424346923828,False,False,False,True,58.82352941176471,0.0,41.17647058823529,0.0,0.0,41.17647058823529,0.0160721960772891,0.6932404540763675,True,
00_baseline_exploration/sweep2_h16_drop_0.1,yearly,6,2.792617917060852,0.12922326536082512,2.5443756580352783,2.9241013526916504,0.05210594336191813,0.03546177319117938,19,00_baseline_exploration,sweep2_h16_drop_0.1,sweep2_h16_drop_0.1,00_baseline_exploration,0.5359375,0.8790067345516318,1.082306742668152,0.7713769674301147,True,False,True,True,48.203125,11.328125,37.65625,2.8125,0.0,51.796875,0.0560250018225634,0.5646605203907302,False,
00_baseline_exploration/sweep_baseline,yearly,6,2.373480280240377,0.24214230787477653,2.1165645122528076,2.7789032459259033,0.06057569322486719,0.08617298262459895,0,00_baseline_exploration,sweep_baseline,sweep_baseline,00_baseline_exploration,0.5265625,0.7697217541762329,1.0848512649536133,0.7738154530525208,False,False,True,True,30.234375000000004,7.03125,62.734375,0.0,0.0,69.765625,0.0678791847740436,0.5284538034406749,False,
00_baseline_exploration/sweep2_hidden_10,yearly,6,2.812708099683126,0.07112037918645901,2.7353596687316895,2.9234745502471924,0.05182324474056562,0.02397721835545123,19,00_baseline_exploration,sweep2_hidden_10,sweep2_hidden_10,00_baseline_exploration,0.54140625,0.8918177336623874,1.083107352256775,0.7721077799797058,True,True,True,True,36.640625,9.921875,34.21875,7.187499999999999,12.03125,63.359375,0.0353556032855757,0.5583936159457376,True,
00_baseline_exploration/sweep_hidden_32,yearly,6,2.717027028401693,0.0677547252462718,2.61856746673584,2.8196089267730713,0.06354356308778127,0.00826030458722789,0,00_baseline_exploration,sweep_hidden_32,sweep_hidden_32,00_baseline_exploration,0.51484375,0.5934322537462989,1.083159565925598,0.7738499641418457,True,False,True,True,27.265625,19.140625,50.9375,2.65625,0.0,72.734375,0.0576308645192513,0.4994150831909639,False,
00_baseline_exploration/sweep2_combo3,yearly,6,3.313215454419454,0.04752137928601988,3.2255160808563232,3.3738176822662354,0.03405150895317396,0.004454823902675013,29,00_baseline_exploration,sweep2_combo3,sweep2_combo3,00_baseline_exploration,0.5346456692913386,0.7914648875824186,1.0868465900421145,0.7753164172172546,True,True,False,True,2.3622047244094486,0.0,76.69291338582677,6.6141732283464565,14.330708661417324,97.63779527559056,0.031593629880141,0.5043669923278534,True,
00_baseline_exploration/sweep_combo3,yearly,6,3.758692463239034,0.135147129003366,3.560224771499634,4.002936363220215,0.017162032425403595,0.03010205541338255,0,00_baseline_exploration,sweep_combo3,sweep_combo3,00_baseline_exploration,0.5379032258064517,0.9183669432610612,1.075366735458374,0.7640499472618103,False,False,True,True,15.645161290322582,6.774193548387098,77.58064516129032,0.0,0.0,84.35483870967742,0.0530358149578428,0.5391896213887809,False,
00_baseline_exploration/sweep_hidden_48,yearly,6,2.2390520373980203,0.2328137060969145,1.7408736944198608,2.4376020431518555,0.1483387971917788,0.04472449507032122,19,00_baseline_exploration,sweep_hidden_48,sweep_hidden_48,00_baseline_exploration,0.5328125,0.7839796619396476,1.086706042289734,0.7732018232345581,False,False,True,True,41.640625,22.65625,35.703125,0.0,0.0,58.359375,0.0691547773906435,0.5372492695899026,False,
