experiment,avg_entropy,std_entropy,min_entropy,max_entropy,entropy_range,avg_concentration,std_concentration,temporal_variance,top_timestep_diversity,mean_attention_pattern,phase
baseline_h20_drop0.10,2.4292606512705484,0.32711404640629893,1.8346118927001953,2.7408900260925293,0.906278133392334,0.10489038936793804,0.05198039640397516,0.0007206059496023497,0.16666666666666666,"[0.00831418 0.01058705 0.01273486 0.01524031 0.01801876 0.02073062
 0.02322686 0.0255565  0.02784329 0.03027735 0.03312146 0.03671736
 0.0414688  0.04826206 0.05788609 0.07146107 0.08972786 0.11269496
 0.14086772 0.17526285]",Vintage Release
baseline_h14_drop0.15,2.8797436952590942,0.05966694159960841,2.7911558151245117,2.9562108516693115,0.1650550365447998,0.05051154953738054,0.0006760260899161786,1.312135547696863e-05,0.5,"[0.04290056 0.04318412 0.04456433 0.04681452 0.04886036 0.05007256
 0.05057078 0.05063322 0.05049933 0.05030476 0.05015734 0.0500678
 0.05006656 0.050273   0.05064933 0.05129993 0.05226854 0.05360966
 0.05545355 0.05774974]",Vintage Release
baseline_h12_drop0.15,2.85511044661204,0.06555324610348093,2.7405402660369873,2.9543509483337402,0.21381068229675293,0.05920555628836155,0.006790324018703537,7.556963762992241e-05,0.16666666666666666,"[0.02436403 0.02628148 0.02849548 0.03008285 0.03154356 0.03307886
 0.03489966 0.03713948 0.03988377 0.0432289  0.04714361 0.05152765
 0.0562136  0.06097475 0.06567423 0.07014872 0.07430164 0.07812408
 0.08163346 0.08526018]",Vintage Release
baseline_h10_drop0.20,2.914351542790731,0.026036600438747608,2.8791871070861816,2.9561715126037598,0.07698440551757812,0.05169882314900557,0.0007832595590282443,5.464190621537878e-06,0.16666666666666666,"[0.02689599 0.0326079  0.03701188 0.04086623 0.04432875 0.04726076
 0.04956488 0.05126903 0.05252569 0.05341756 0.05408936 0.05461181
 0.05502377 0.05546474 0.05590403 0.05640144 0.05694941 0.05758313
 0.05846559 0.05975807]",Vintage Release
baseline_h16_drop0.25,2.838536779085795,0.09884415407317908,2.656442642211914,2.960329055786133,0.30388641357421875,0.05033006022373835,0.000319303794651563,4.163071855634392e-06,0.16666666666666666,"[0.04834126 0.04925412 0.04913331 0.04885938 0.04851195 0.04814511
 0.04782687 0.04751453 0.04736643 0.04733564 0.04753315 0.04782919
 0.04820568 0.04887354 0.04968242 0.05084804 0.05234659 0.0543589
 0.05706473 0.06096921]",Vintage Release
baseline_h12_drop0.30,2.9180825551350913,0.02046174144831343,2.8989601135253906,2.961056709289551,0.062096595764160156,0.05146022575596968,0.0009484918028886112,1.0100599228173447e-05,0.16666666666666666,"[0.02982602 0.03656041 0.04093956 0.04340433 0.04492723 0.0460793
 0.04712909 0.04821046 0.04931262 0.05043436 0.05155986 0.0526722
 0.05376458 0.05478124 0.05577405 0.0567149  0.05771271 0.05881281
 0.05999803 0.06138625]",Vintage Release
baseline_h18_drop0.25,2.8632379372914634,0.06392218791041838,2.7503628730773926,2.950758695602417,0.20039582252502441,0.05259107860426108,0.0019321709501510245,2.0334411074076978e-05,0.16666666666666666,"[0.03032195 0.03395242 0.03641913 0.03896535 0.04108802 0.04298096
 0.04477647 0.04647957 0.04817036 0.04977416 0.0513068  0.05272939
 0.05404026 0.05548135 0.05695864 0.05861235 0.06046892 0.06266898
 0.06543387 0.06937109]",Vintage Release
baseline_h20_drop0.20,2.815832177797953,0.14953078771051756,2.5045578479766846,2.9377856254577637,0.4332277774810791,0.0627907495945692,0.017050101039661134,0.00026559194908738835,0.3333333333333333,"[0.02201621 0.02545104 0.02865469 0.03162648 0.03418998 0.03635967
 0.03828774 0.04014738 0.04206649 0.04416758 0.04657889 0.04938892
 0.05266748 0.05659685 0.06113791 0.06622287 0.07171205 0.07754018
 0.08396609 0.09122154]",Vintage Release
baseline_h12_drop0.25,2.8929400046666465,0.034027404530096284,2.867825984954834,2.965702772140503,0.09787678718566895,0.05353386824329694,0.0019971716749467776,2.4026972101454478e-05,0.16666666666666666,"[0.02393707 0.03127852 0.03564401 0.03811585 0.03981738 0.04133742
 0.042961   0.04481292 0.04687663 0.04912437 0.05148154 0.05385159
 0.05616685 0.05830719 0.06027547 0.0620241  0.06364174 0.0651907
 0.06671628 0.06843934]",Vintage Release
baseline_h20_drop0.25,2.358626127243042,0.20464800578278916,2.0968806743621826,2.639962911605835,0.5430822372436523,0.12522930527726808,0.03804071985704927,0.00031652677733288596,0.16666666666666666,"[0.00936103 0.00994575 0.01060412 0.01138514 0.01228735 0.01333223
 0.01457619 0.01608546 0.01795331 0.0203196  0.02340729 0.02756886
 0.03323701 0.04129328 0.05286214 0.06947229 0.09305356 0.12563479
 0.16963599 0.22798463]",Vintage Release
baseline_h16_drop0.15,2.863043506940206,0.09566870168733979,2.6752891540527344,2.9745535850524902,0.29926443099975586,0.050922827795147896,0.0008384953927119359,9.024694687503116e-06,0.16666666666666666,"[0.03946019 0.04226983 0.04332802 0.04421027 0.04519808 0.04626371
 0.04726874 0.04802256 0.04859772 0.04904912 0.04956916 0.05008387
 0.05063476 0.05140375 0.05238036 0.05369811 0.05542805 0.05769291
 0.06071716 0.06472364]",Vintage Release
