experiment_name_attention,period_type,n_periods,avg_entropy,std_entropy,min_entropy,max_entropy,avg_concentration,entropy_trend,top_timestep,phase_prefix,exp_name_only,experiment_name_collapse,phase,dir_acc,sharpe_ratio,test_rmse,test_mae,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,problematic_pct,pred_std,composite_score,collapsed,collapse_type
02b_vintage_sweep/baseline_h18_drop0.30,yearly,6,2.8688740730285645,0.06362954021068656,2.7590439319610596,2.95261549949646,0.05222382086018721,-0.005852222442627011,19,02b_vintage_sweep,baseline_h18_drop0.30,baseline_h18_drop0.30,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0828832387924194,0.7720409035682678,True,True,False,True,2.3400936037441498,0.0,75.27301092043682,6.084243369734789,16.302652106084242,97.65990639625583,0.0292824694621583,0.5056151834033525,True,
02b_vintage_sweep/baseline_h18_drop0.10,yearly,6,2.8263362646102905,0.10882762058197502,2.592482566833496,2.91176176071167,0.05911522793273131,0.008726821626935582,19,02b_vintage_sweep,baseline_h18_drop0.10,baseline_h18_drop0.10,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0826698541641235,0.7722826600074768,True,True,False,True,2.3400936037441498,0.0,77.61310452418097,11.466458658346331,8.580343213728549,97.65990639625583,0.0283906344688693,0.5197471585267687,True,
02b_vintage_sweep/baseline_h14_drop0.20,yearly,6,2.8905426263809204,0.05694594393785226,2.792407512664795,2.9529459476470947,0.05093004492421945,0.003264502116611871,19,02b_vintage_sweep,baseline_h14_drop0.20,baseline_h14_drop0.20,02b_vintage_sweep,0.5366614664586583,0.8372966520439408,1.0842397212982178,0.7738963961601257,True,False,False,True,2.3400936037441498,0.0,97.42589703588143,0.234009360374415,0.0,97.65990639625583,0.0510459388853807,0.5066707915063238,False,
02b_vintage_sweep/baseline_h20_drop0.15,yearly,6,2.613322695096334,0.24087136290574748,2.153581380844116,2.8348114490509033,0.08132906506458919,0.08208374977111821,19,02b_vintage_sweep,baseline_h20_drop0.15,baseline_h20_drop0.15,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0846494436264038,0.7729595303535461,True,True,False,True,2.3400936037441498,0.0,86.66146645865834,3.6661466458658345,7.332293291731669,97.65990639625583,0.0459762861200088,0.5168297157925961,True,
02b_vintage_sweep/baseline_h18_drop0.15,yearly,6,2.867450396219889,0.06645885137136089,2.733947992324829,2.936332941055298,0.055569746841986976,-0.0015474864414760394,19,02b_vintage_sweep,baseline_h18_drop0.15,baseline_h18_drop0.15,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0830228328704834,0.7722946405410767,True,True,False,True,2.3400936037441498,0.0,72.30889235569423,10.686427457098285,14.664586583463338,97.65990639625583,0.0279470629157117,0.5068364954204264,True,
02b_vintage_sweep/baseline_h12_drop0.10,yearly,6,2.7284366687138877,0.16755996272572737,2.493840217590332,2.918381929397583,0.07282437197864056,-0.05368221146719794,19,02b_vintage_sweep,baseline_h12_drop0.10,baseline_h12_drop0.10,02b_vintage_sweep,0.5358814352574103,0.8258022824440694,1.0833075046539309,0.7724334597587585,True,False,True,True,4.5241809672386895,2.418096723868955,92.04368174726989,1.014040561622465,0.0,95.47581903276132,0.0414301964591787,0.5373511704603218,True,
02b_vintage_sweep/baseline_h20_drop0.10,yearly,6,2.4292606512705484,0.32711404640629893,1.8346118927001953,2.7408900260925293,0.10489038936793804,0.12267387935093467,19,02b_vintage_sweep,baseline_h20_drop0.10,baseline_h20_drop0.10,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0846105813980105,0.7727853655815125,True,True,False,True,2.3400936037441498,0.0,92.04368174726989,3.5101404056162244,2.1060842433697347,97.65990639625583,0.037238724700855,0.5101418699275573,True,
02b_vintage_sweep/baseline_h14_drop0.15,yearly,6,2.8797436952590942,0.05966694159960841,2.7911558151245117,2.9562108516693115,0.05051154953738054,-0.0033623354775565197,19,02b_vintage_sweep,baseline_h14_drop0.15,baseline_h14_drop0.15,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0833745002746582,0.7729485630989075,False,False,False,True,2.3400936037441498,0.0,97.65990639625583,0.0,0.0,97.65990639625583,0.0504869761020384,0.5052456080234363,True,
02b_vintage_sweep/baseline_h12_drop0.15,yearly,6,2.85511044661204,0.06555324610348093,2.7405402660369873,2.9543509483337402,0.05920555628836155,-0.017687640871320465,19,02b_vintage_sweep,baseline_h12_drop0.15,baseline_h12_drop0.15,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0836448669433594,0.7726311683654785,True,True,False,True,2.3400936037441498,0.0,96.41185647425895,0.31201248049922,0.93603744149766,97.65990639625583,0.0389624505852373,0.5256872873152223,True,
02b_vintage_sweep/baseline_h10_drop0.20,yearly,6,2.914351542790731,0.026036600438747608,2.8791871070861816,2.9561715126037598,0.05169882314900557,-0.00392408370971698,19,02b_vintage_sweep,baseline_h10_drop0.20,baseline_h10_drop0.20,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.082518458366394,0.7720995545387268,True,True,False,True,2.3400936037441498,0.0,84.86739469578784,5.61622464898596,7.17628705148206,97.65990639625586,0.0298014837525948,0.5201412090974077,True,
02b_vintage_sweep/baseline_h16_drop0.25,yearly,6,2.838536779085795,0.09884415407317908,2.656442642211914,2.960329055786133,0.05033006022373835,0.02504081044878269,19,02b_vintage_sweep,baseline_h16_drop0.25,baseline_h16_drop0.25,02b_vintage_sweep,0.5374414976599063,0.958706226628333,1.0825060606002808,0.7723751068115234,True,False,True,True,49.84399375975039,6.474258970358815,43.29173166926677,0.3900156006240249,0.0,50.15600624024961,0.0371952188908219,0.5373644008091292,True,
02b_vintage_sweep/baseline_h12_drop0.30,yearly,6,2.9180825551350913,0.02046174144831343,2.8989601135253906,2.961056709289551,0.05146022575596968,-0.006031867436000259,19,02b_vintage_sweep,baseline_h12_drop0.30,baseline_h12_drop0.30,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.082868218421936,0.771864116191864,True,True,False,True,2.3400936037441498,0.0,93.99375975039,2.65210608424337,1.014040561622465,97.65990639625583,0.0264123234830817,0.5088483560978507,True,
02b_vintage_sweep/baseline_h18_drop0.25,yearly,6,2.8632379372914634,0.06392218791041838,2.7503628730773926,2.950758695602417,0.05259107860426108,-0.0036644935607910508,19,02b_vintage_sweep,baseline_h18_drop0.25,baseline_h18_drop0.25,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.082848310470581,0.7720234990119934,True,True,False,True,2.3400936037441498,0.0,72.23088923556942,7.410296411856475,18.018720748829956,97.65990639625583,0.0285119150325233,0.5074238999977765,True,
02b_vintage_sweep/baseline_h20_drop0.20,yearly,6,2.815832177797953,0.14953078771051756,2.5045578479766846,2.9377856254577637,0.0627907495945692,0.0381008080073765,19,02b_vintage_sweep,baseline_h20_drop0.20,baseline_h20_drop0.20,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0841147899627686,0.7725160121917725,True,False,False,True,2.3400936037441498,0.0,97.19188767550702,0.46801872074883,0.0,97.65990639625583,0.04313322931532,0.5151678503425097,True,
