val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,epoch,step,train_loss_epoch,train_loss_step
,,,,,39,159,1.6897683143615723,
1.7576956748962402,1.0803552865982056,2.755871534347534,4.197721004486084,2.8367011547088623,40,163,,
,,,,,40,163,1.7453385591506958,
1.7554560899734497,1.0878781080245972,2.759711742401123,4.19559383392334,2.789959192276001,41,167,,
,,,,,41,167,1.6935803890228271,
1.7471494674682617,1.0828430652618408,2.7571754455566406,4.197099685668945,2.8207387924194336,42,171,,
,,,,,42,171,1.728752613067627,
1.746311068534851,1.0958112478256226,2.7637946605682373,4.193648338317871,2.741616725921631,43,175,,
,,,,,43,175,1.8131840229034424,
1.744774341583252,1.0951952934265137,2.763474941253662,4.193835258483887,2.744873285293579,44,179,,
,,,,,44,179,1.7860138416290283,
1.7386658191680908,1.0869747400283813,2.759206771850586,4.196152210235596,2.7917938232421875,45,183,,
