experiment_name,period1,period2,cosine_similarity,l2_distance,entropy_change,concentration_change,top_timestep1,top_timestep2,top_timestep_delta,signal_cosine,signal_l2,signal_entropy,signal_top_timestep,n_signals_fired
00_baseline_exploration/sweep2_h16_lr_0.0007,2021,2022,0.9926492961866469,0.02725512906908989,0.02973651885986328,0.0005652308464050293,t-0,t-19,19,False,True,False,True,2
00_baseline_exploration/sweep2_h16_lr_0.0007,2022,2023,0.9873460319273035,0.03582429140806198,-0.03868746757507324,1.2304633855819702e-05,t-19,t-0,19,False,True,False,True,2
00_baseline_exploration/sweep2_h16_lr_0.0007,2023,2024,0.987814456671789,0.036087386310100555,-0.0847322940826416,0.0026677921414375305,t-0,t-0,0,False,True,True,False,2
00_baseline_exploration/sweep2_h16_lr_0.0007,2024,2025,0.9867804332674707,0.03748572990298271,-0.02637457847595215,-0.0021991394460201263,t-0,t-0,0,False,True,False,False,1
00_baseline_exploration/sweep2_hidden_16,2021,2022,0.9933143275597421,0.02597867324948311,0.03510117530822754,0.00026680901646614075,t-0,t-19,19,False,True,False,True,2
00_baseline_exploration/sweep2_hidden_16,2022,2023,0.9846181314083166,0.0395832285284996,-0.05466461181640625,0.0005926117300987244,t-19,t-0,19,False,True,True,True,3
00_baseline_exploration/sweep2_hidden_16,2023,2024,0.9836157931440019,0.04279937222599983,-0.1114041805267334,0.0042854249477386475,t-0,t-0,0,False,True,True,False,2
00_baseline_exploration/sweep2_hidden_16,2024,2025,0.9811057256520082,0.04567491635680199,-0.013338327407836914,-0.0035510361194610596,t-0,t-0,0,False,True,False,False,1
00_baseline_exploration/sweep2_h16_drop_0.05,2021,2022,0.9928092555846671,0.026957597583532333,0.02842116355895996,0.0004494115710258484,t-0,t-19,19,False,True,False,True,2
00_baseline_exploration/sweep2_h16_drop_0.05,2022,2023,0.9886845948157394,0.03388555347919464,-0.04263448715209961,9.808316826820374e-05,t-19,t-0,19,False,True,False,True,2
00_baseline_exploration/sweep2_h16_drop_0.05,2023,2024,0.977498471633065,0.049744050949811935,-0.10574936866760254,0.004410650581121445,t-0,t-0,0,False,True,True,False,2
00_baseline_exploration/sweep2_h16_drop_0.05,2024,2025,0.9848747753528129,0.040813691914081573,-0.02079629898071289,-0.003013692796230316,t-0,t-0,0,False,True,False,False,1
00_baseline_exploration/exp005_attn4,2021,2022,0.9935947160271061,0.025560762733221054,-0.025494813919067383,-0.0006002634763717651,t-18,t-19,1,False,True,False,False,1
00_baseline_exploration/sweep2_h16_enc_20,2021,2022,0.9933143275597421,0.02597867324948311,0.03510117530822754,0.00026680901646614075,t-0,t-19,19,False,True,False,True,2
00_baseline_exploration/sweep2_h16_enc_20,2022,2023,0.9846181314083166,0.0395832285284996,-0.05466461181640625,0.0005926117300987244,t-19,t-0,19,False,True,True,True,3
00_baseline_exploration/sweep2_h16_enc_20,2023,2024,0.9836157931440019,0.04279937222599983,-0.1114041805267334,0.0042854249477386475,t-0,t-0,0,False,True,True,False,2
00_baseline_exploration/sweep2_h16_enc_20,2024,2025,0.9811057256520082,0.04567491635680199,-0.013338327407836914,-0.0035510361194610596,t-0,t-0,0,False,True,False,False,1
00_baseline_exploration/sweep2_hidden_10,2023,2024,0.99911350499489,0.009430003352463245,-0.0005643367767333984,-4.2576342821121216e-05,t-0,t-19,19,False,False,False,True,1
00_baseline_exploration/sweep2_h16_enc_60,2020,2021,0.9988730779664201,0.006149881519377232,-0.0635976791381836,-4.147738218307495e-05,t-0,t-59,59,False,False,True,True,2
00_baseline_exploration/sweep2_h16_enc_60,2022,2023,0.997967832783841,0.00827392004430294,-0.056906700134277344,0.00013753771781921387,t-59,t-59,0,False,False,True,False,1
00_baseline_exploration/sweep2_h16_enc_60,2023,2024,0.9645868683066268,0.03589693084359169,-0.15305471420288086,0.0016495995223522186,t-59,t-0,59,False,True,True,True,3
00_baseline_exploration/sweep2_h16_enc_60,2024,2025,0.9502654626579327,0.04248570650815964,-0.11039853096008301,-0.0009169820696115494,t-0,t-59,59,True,True,True,True,4
00_baseline_exploration/sweep2_h16_enc_50,2020,2021,0.9992705694007952,0.005424024071544409,-0.058251380920410156,-6.0327351093292236e-05,t-0,t-49,49,False,False,True,True,2
00_baseline_exploration/sweep2_h16_enc_50,2022,2023,0.9979473479143044,0.009103167802095413,-0.052904367446899414,0.00013959035277366638,t-49,t-49,0,False,False,True,False,1
00_baseline_exploration/sweep2_h16_enc_50,2023,2024,0.9641616328010153,0.039516277611255646,-0.13318920135498047,0.0019595064222812653,t-49,t-0,49,False,True,True,True,3
00_baseline_exploration/sweep2_h16_enc_50,2024,2025,0.9658302410969892,0.0385899692773819,-0.09543585777282715,-0.00120486319065094,t-0,t-49,49,False,True,True,True,3
00_baseline_exploration/sweep_hidden_32,2023,2024,0.9998525486198084,0.003843862796202302,-0.0007410049438476562,-3.18475067615509e-05,t-19,t-9,10,False,False,False,True,1
00_baseline_exploration/sweep_dropout_0.15,2023,2024,0.9998525486198084,0.003843862796202302,-0.0007410049438476562,-3.18475067615509e-05,t-19,t-9,10,False,False,False,True,1
00_baseline_exploration/sweep2_h16_lr_0.0002,2021,2022,0.9925362440176267,0.02745775878429413,0.027842283248901367,0.0005050972104072571,t-0,t-19,19,False,True,False,True,2
00_baseline_exploration/sweep2_h16_lr_0.0002,2022,2023,0.9880746814393364,0.03477292135357857,-0.0382997989654541,4.4871121644973755e-05,t-19,t-0,19,False,True,False,True,2
00_baseline_exploration/sweep2_h16_lr_0.0002,2023,2024,0.9842835911347552,0.04116670414805412,-0.0880434513092041,0.00324350968003273,t-0,t-0,0,False,True,True,False,2
00_baseline_exploration/sweep2_h16_lr_0.0002,2024,2025,0.9873392450071165,0.03692280873656273,-0.02306365966796875,-0.0024301372468471527,t-0,t-0,0,False,True,False,False,1
00_baseline_exploration/sweep2_h16_lr_0.0005,2021,2022,0.9933143275597421,0.02597867324948311,0.03510117530822754,0.00026680901646614075,t-0,t-19,19,False,True,False,True,2
00_baseline_exploration/sweep2_h16_lr_0.0005,2022,2023,0.9846181314083166,0.0395832285284996,-0.05466461181640625,0.0005926117300987244,t-19,t-0,19,False,True,True,True,3
00_baseline_exploration/sweep2_h16_lr_0.0005,2023,2024,0.9836157931440019,0.04279937222599983,-0.1114041805267334,0.0042854249477386475,t-0,t-0,0,False,True,True,False,2
00_baseline_exploration/sweep2_h16_lr_0.0005,2024,2025,0.9811057256520082,0.04567491635680199,-0.013338327407836914,-0.0035510361194610596,t-0,t-0,0,False,True,False,False,1
00_baseline_exploration/sweep2_h16_drop_0.2,2021,2022,0.9933512071182182,0.02590220980346203,0.03616189956665039,0.00019758567214012146,t-0,t-19,19,False,True,False,True,2
00_baseline_exploration/sweep2_h16_drop_0.2,2022,2023,0.9835443386295782,0.0409734733402729,-0.058541059494018555,0.0007701590657234192,t-19,t-0,19,False,True,True,True,3
00_baseline_exploration/sweep2_h16_drop_0.2,2023,2024,0.9850949412107314,0.04092337191104889,-0.11215758323669434,0.0042234621942043304,t-0,t-0,0,False,True,True,False,2
00_baseline_exploration/sweep2_h16_drop_0.2,2024,2025,0.9801253686457128,0.046866197139024734,-0.010690450668334961,-0.0037077777087688446,t-0,t-0,0,False,True,False,False,1
00_baseline_exploration/sweep2_hidden_8,2020,2021,0.9937712415721687,0.02626602165400982,0.0212249755859375,-0.0025956742465496063,t-19,t-19,0,False,True,False,False,1
00_baseline_exploration/sweep2_hidden_8,2021,2022,0.9929403337834257,0.02696472965180874,0.011893510818481445,-0.0013547614216804504,t-19,t-19,0,False,True,False,False,1
00_baseline_exploration/sweep2_h16_lr_0.0004,2020,2021,0.9999345014098281,0.0025658481754362583,-0.03688788414001465,-3.894791007041931e-05,t-0,t-19,19,False,False,False,True,1
00_baseline_exploration/sweep2_h16_lr_0.0004,2021,2022,0.9931437319670947,0.026321785524487495,0.02630448341369629,0.0006078071892261505,t-19,t-19,0,False,True,False,False,1
00_baseline_exploration/sweep2_h16_lr_0.0004,2022,2023,0.9885958973443776,0.03398630768060684,-0.032135963439941406,-0.00011463090777397156,t-19,t-0,19,False,True,False,True,2
00_baseline_exploration/sweep2_h16_lr_0.0004,2023,2024,0.989443540560631,0.03337237611413002,-0.07381987571716309,0.002180490642786026,t-0,t-0,0,False,True,True,False,2
00_baseline_exploration/sweep2_h16_lr_0.0004,2024,2025,0.9888806826329746,0.03418395295739174,-0.02810955047607422,-0.0017535388469696045,t-0,t-0,0,False,True,False,False,1
00_baseline_exploration/sweep2_h16_lr_0.0003,2021,2022,0.9927516944825079,0.027058131992816925,0.03085160255432129,0.00043909624218940735,t-0,t-19,19,False,True,False,True,2
00_baseline_exploration/sweep2_h16_lr_0.0003,2022,2023,0.9868550683128848,0.03653474897146225,-0.043912649154663086,0.00021082907915115356,t-19,t-0,19,False,True,False,True,2
00_baseline_exploration/sweep2_h16_lr_0.0003,2023,2024,0.9838819028777026,0.04194333776831627,-0.09623241424560547,0.0036171600222587585,t-0,t-0,0,False,True,True,False,2
00_baseline_exploration/sweep2_h16_lr_0.0003,2024,2025,0.9853614209886932,0.03988261893391609,-0.020441532135009766,-0.002802010625600815,t-0,t-0,0,False,True,False,False,1
00_baseline_exploration/sweep_encoder_20,2023,2024,0.9998525486198084,0.003843862796202302,-0.0007410049438476562,-3.18475067615509e-05,t-19,t-9,10,False,False,False,True,1
00_baseline_exploration/sweep_lr_0.0005,2023,2024,0.9998525486198084,0.003843862796202302,-0.0007410049438476562,-3.18475067615509e-05,t-19,t-9,10,False,False,False,True,1
00_baseline_exploration/sweep2_h16_drop_0.3,2021,2022,0.9924524794429858,0.02759995497763157,0.04218006134033203,-6.225332617759705e-05,t-0,t-19,19,False,True,False,True,2
00_baseline_exploration/sweep2_h16_drop_0.3,2022,2023,0.9810666254434895,0.04404229298233986,-0.06990742683410645,0.0012134946882724762,t-19,t-0,19,False,True,True,True,3
00_baseline_exploration/sweep2_h16_drop_0.3,2023,2024,0.9837498109009987,0.04330820217728615,-0.12604880332946777,0.005037121474742889,t-0,t-0,0,False,True,True,False,2
00_baseline_exploration/sweep2_h16_drop_0.3,2024,2025,0.9761425206398741,0.051897719502449036,0.0005381107330322266,-0.004784204065799713,t-0,t-0,0,False,True,False,False,1
00_baseline_exploration/exp006_monthly,2021,2022,0.9735339237854443,0.0673920139670372,-0.0573272705078125,0.0033643916249275208,t-4,t-11,7,False,True,True,True,3
00_baseline_exploration/exp006_monthly,2022,2023,0.9807693625487238,0.057525262236595154,0.012049436569213867,-0.003411531448364258,t-11,t-11,0,False,True,False,False,1
00_baseline_exploration/exp006_monthly,2024,2025,0.9798041673746065,0.05842597410082817,-0.002318143844604492,0.001203201711177826,t-11,t-5,6,False,True,False,True,2
00_baseline_exploration/sweep2_h16_enc_40,2020,2021,0.999516772508821,0.004938988946378231,-0.057032108306884766,-6.31045550107956e-05,t-0,t-39,39,False,False,True,True,2
00_baseline_exploration/sweep2_h16_enc_40,2022,2023,0.9959723192908294,0.014275774359703064,-0.05755448341369629,0.0002230815589427948,t-39,t-39,0,False,False,True,False,1
00_baseline_exploration/sweep2_h16_enc_40,2023,2024,0.9682635598910729,0.04159586876630783,-0.13349676132202148,0.002297302708029747,t-39,t-0,39,False,True,True,True,3
00_baseline_exploration/sweep2_h16_enc_40,2024,2025,0.9776840837371555,0.03494410961866379,-0.06017422676086426,-0.001525217667222023,t-0,t-39,39,False,True,True,True,3
