experiment_name,period_type,n_periods,avg_entropy,std_entropy,min_entropy,max_entropy,avg_concentration,entropy_trend,top_timestep
01_staleness_features_fixed/sweep_stale_h12_drop0.35_lr3,yearly,6,2.9536729653676352,0.02744572678516713,2.9162330627441406,2.983158588409424,0.05002320744097233,-0.012236527034214672,19
01_staleness_features_fixed/sweep_stale_h22_drop0.30_lr3,yearly,6,2.975874741872152,0.017258338757825006,2.9452505111694336,2.9918055534362793,0.050093610460559525,0.009330858503068917,0
01_staleness_features_fixed/sweep_stale_h14_drop0.25_lr5,yearly,6,2.9860522747039795,0.0037613164297687525,2.980621576309204,2.9903764724731445,0.05021537902454535,-0.0003543036324640899,19
01_staleness_features_fixed/sweep_stale_h14_drop0.30_lr5,yearly,6,2.9853934049606323,0.0035871061524867247,2.9807209968566895,2.9906527996063232,0.0502501322577397,-0.0005259854452952645,19
01_staleness_features_fixed/sweep_stale_h22_drop0.25_lr3,yearly,6,2.9764231046040854,0.016898853911612798,2.9464781284332275,2.992016553878784,0.050092299158374466,0.009148815699985734,0
01_staleness_features_fixed/sweep_stale_monthly_h16_drop0.25,yearly,5,2.4775113105773925,0.0025263638544746675,2.4748079776763916,2.4817490577697754,0.08379816710948944,-0.0009807825088499432,0
01_staleness_features_fixed/sweep_stale_h20_drop0.15_lr5,yearly,6,2.9920668601989746,0.001822331917186039,2.9890120029449463,2.9947147369384766,0.050050839160879455,0.00028647014072911455,0
01_staleness_features_fixed/sweep_stale_h12_drop0.20_lr3,yearly,6,2.9604798555374146,0.022037809932473888,2.9294300079345703,2.9835000038146973,0.050023229171832405,-0.009421328135899434,19
01_staleness_features_fixed/sweep_stale_h16_drop0.15_lr5,yearly,6,2.9902137915293374,0.0037548272772461406,2.985250234603882,2.9948484897613525,0.050021080300211906,-0.001649624960763087,0
01_staleness_features_fixed/sweep_stale_h12_drop0.35_lr5,yearly,6,2.9488300482432046,0.02935356295328947,2.908806800842285,2.980664014816284,0.05002347007393837,-0.013121141706194675,19
01_staleness_features_fixed/sweep_stale_h22_drop0.30_lr5,yearly,6,2.9739592472712197,0.015576296720563553,2.9466705322265625,2.9885332584381104,0.05008049743870894,0.008307790756225345,0
01_staleness_features_fixed/sweep_stale_h14_drop0.25_lr3,yearly,6,2.986108422279358,0.0032367371708807873,2.9820117950439453,2.9902992248535156,0.050230106338858604,-0.0003912585122250155,19
01_staleness_features_fixed/sweep_stale_h14_drop0.30_lr3,yearly,6,2.984427730242411,0.0036258895392274116,2.9790613651275635,2.989760398864746,0.050236331298947334,-0.0007272243499757284,19
01_staleness_features_fixed/sweep_stale_h22_drop0.25_lr5,yearly,6,2.9741320610046387,0.01623523418450391,2.945551633834839,2.9892325401306152,0.05008222721517086,0.008708531515938653,0
01_staleness_features_fixed/sweep_stale_h20_drop0.15_lr3,yearly,6,2.9912379582722983,0.002221209716414109,2.9874958992004395,2.9943296909332275,0.05005842261016369,0.00024127960205040154,0
