experiment,period_from,period_to,n_signals,signals,cosine_similarity,l2_distance,concentration_from,concentration_to,concentration_change,top_feature_from,top_feature_to,samples_from,samples_to
02b_vintage_sweep/baseline_h12_drop0.30,2020,2021,2,"l2,concentration",0.9885119481016551,0.13178838789463043,0.5900720357894897,0.4857776463031769,-0.10429438948631287,VIX,VIX,94,250
02b_vintage_sweep/baseline_h12_drop0.30,2022,2023,2,"l2,concentration",0.9791869299389395,0.1558990329504013,0.48488253355026245,0.3794969320297241,-0.10538560152053833,VIX,VIX,249,249
02b_vintage_sweep/baseline_h18_drop0.25,2022,2023,2,"l2,concentration",0.9794490009785376,0.1326204389333725,0.40079522132873535,0.34133660793304443,-0.05945861339569092,VIX,VIX,249,249
02b_vintage_sweep/baseline_h20_drop0.20,2020,2021,2,"l2,concentration",0.9592053384814793,0.16678845882415771,0.33506178855895996,0.27353471517562866,-0.0615270733833313,Inflation_YoY,Inflation_YoY,94,250
02b_vintage_sweep/baseline_h20_drop0.20,2021,2022,2,"cosine,l2",0.862973590941249,0.27809208631515503,0.27353471517562866,0.28943300247192383,0.015898287296295166,Inflation_YoY,Inflation_YoY,250,249
02b_vintage_sweep/baseline_h20_drop0.20,2022,2023,2,"cosine,l2",0.8624862379615121,0.288021057844162,0.28943300247192383,0.31132185459136963,0.0218888521194458,Inflation_YoY,Inflation_YoY,249,249
02b_vintage_sweep/baseline_h20_drop0.20,2023,2024,2,"l2,top_feature",0.9805251652742437,0.11276879161596298,0.31132185459136963,0.32915782928466797,0.01783597469329834,Inflation_YoY,VIX,249,250
02b_vintage_sweep/baseline_h12_drop0.25,2020,2021,2,"l2,concentration",0.983636045810258,0.1659294068813324,0.6257233023643494,0.48039180040359497,-0.1453315019607544,VIX,VIX,94,250
02b_vintage_sweep/baseline_h12_drop0.25,2022,2023,2,"l2,concentration",0.9610924484225907,0.19285769760608673,0.43869853019714355,0.3312861919403076,-0.10741233825683594,VIX,VIX,249,249
02b_vintage_sweep/baseline_h20_drop0.25,2022,2023,2,"cosine,l2",0.9178940629621732,0.23115640878677368,0.3385534882545471,0.2971173822879791,-0.04143610596656799,relative_time_idx,relative_time_idx,249,249
02b_vintage_sweep/baseline_h20_drop0.25,2023,2024,3,"cosine,l2,top_feature",0.8834033961944545,0.27509909868240356,0.2971173822879791,0.34067320823669434,0.04355582594871521,relative_time_idx,Yield_Spread,249,250
02b_vintage_sweep/baseline_h16_drop0.15,2021,2022,2,"l2,concentration",0.9728884529541691,0.1951846480369568,0.38809138536453247,0.5442848801612854,0.15619349479675293,VIX,VIX,250,249
02b_vintage_sweep/baseline_h16_drop0.15,2022,2023,2,"l2,concentration",0.9894947098086628,0.127357617020607,0.5442848801612854,0.43613502383232117,-0.10814985632896423,VIX,VIX,249,249
02b_vintage_sweep/baseline_h16_drop0.15,2023,2024,3,"cosine,l2,concentration",0.876633127075273,0.3218599557876587,0.43613502383232117,0.2784934341907501,-0.15764158964157104,VIX,VIX,249,250
