Date,SP500_Returns,VIX,Treasury_10Y,Yield_Spread,SP500_Volatility,cumret_5,cumret_10,cumret_20,cumret_30
2010-04-02,0.9866371306846976,17.445,3.89,2.84,0.4678105803016539,-5.705795101955835,-7.342331023899651,-9.032343297245593,0.43799628950165204
2010-04-09,1.3810389498699394,16.498,3.9,2.82,0.445861593195005,-4.9138827705137995,-6.435190574594218,-10.865982051411272,2.6356975307020303
2010-04-16,-0.1875457557986681,16.324,3.79,2.81,0.5067426624921432,-8.760794799962213,-9.677635379081739,-7.3498691215142635,0.5938912724021694
2010-04-23,2.109671286776704,16.496000000000002,3.84,2.74,0.6126922605566338,-10.504566906519264,-15.994677274011792,-8.850057330766958,-1.441742935539858
2010-04-30,-2.5129869179152164,20.37,3.69,2.72,0.8253496732810955,-10.264680964523109,-9.162459095246344,-5.148773361433667,0.22837330234726227
2010-05-07,-6.3883524986822815,28.538,3.45,2.62,1.1799136190423585,-1.7355636263260643,-4.140861280949338,3.4018110773796906,10.246827339978548
2010-05-14,2.2324687382181407,28.12,3.44,2.65,1.7222748231307192,-1.5999263072324355,-2.907510739785768,0.929833758102161,9.220904282059195
2010-05-21,-4.225671847266799,37.12,3.2,2.44,1.81211537677094,-1.0048756750011045,1.2788602385807923,7.121522417286097,14.362557455616788
2010-05-28,0.1581418295744763,33.94,3.31,2.55,1.958428303951833,-6.134514553114623,2.9584802285228307,7.965770876335521,15.362442065037719
2010-06-04,-2.2516801321135094,32.6625,3.2,2.48,2.058260347959929,1.2283032825023854,1.3494473603876678,11.099837599531416,18.1015709640296
2010-06-11,2.5092001521866747,32.672000000000004,3.24,2.49,1.908862577981444,-2.447780441620351,-1.8239313507679933,8.396851981467579,16.480398354488536
2010-06-18,2.373583250199296,25.874,3.24,2.5,1.8853849966900091,-1.3288449728564022,-4.735531984757035,9.694764688777525,15.725137039766235
2010-06-25,-3.6464997757421846,27.422000000000004,3.12,2.47,1.6756705723087335,2.3069175670555664,2.57717594898792,11.372074562699265,19.18625914285952
2010-07-02,-5.031761226679887,32.13,3.0,2.37,1.5149112282738115,9.687261231693967,8.504961008898748,17.323824093791384,24.815656915792616
2010-07-09,5.41570761428154,26.795,3.07,2.44,1.4055788345742823,0.11967411678057704,4.41853191294681,10.338052201831637,21.606557072595333
2010-07-16,-1.2133990619940915,25.054,2.96,2.35,1.332199772425517,0.6395027131894659,7.868495856650148,15.009198719275062,24.816882495632207
2010-07-23,3.5478203293931365,24.728,3.02,2.42,1.4658911185287449,-3.4525662651496147,3.9522567884768156,12.491609921896307,21.79728729941175
2010-07-30,-0.0961364845819101,23.56,2.94,2.39,1.3723900971907568,0.264164328629346,5.7688861870501595,12.918487812970003,19.81481791344204
2010-08-06,1.8191756995855848,22.138,2.86,2.36,1.2397333315918608,-1.0778828913394434,4.863407692789035,12.047537812313758,17.78734773724693
2010-08-13,-3.779288728543096,24.374,2.68,2.14,1.2303218582880413,4.293719325486434,9.620565768328682,16.52907247147899,20.850593402536454
2010-08-20,-0.7004918780403102,25.39,2.62,2.13,1.1056994379606286,7.1830572971554485,10.410666746855446,18.644390590394355,19.363811445215838
2010-08-27,-0.6625027735747024,26.328,2.66,2.1,1.0528198392859216,7.669621829579021,15.147616917595808,21.477754981269047,23.409020468813612
2010-09-03,3.74980464094008,24.33,2.72,2.2,1.1737595679410084,5.490218659159551,8.573933267655054,16.191792219091017,20.63358615124027
2010-09-10,0.4563144759158311,22.9625,2.81,2.23,1.2466686361620365,6.006028538190611,8.127612786450733,15.03221212673973,19.7034820870035
2010-09-17,1.445623566879961,21.72,2.75,2.27,1.146717607746636,5.107542886852001,5.669032288080689,16.46070371299424,17.243409570480228
2010-09-24,2.050487195679618,22.388,2.62,2.17,1.0782653676241063,3.011305640173867,6.619822410534426,15.712082109224257,16.42856118101088
2010-10-01,-0.2115536766843062,22.918,2.54,2.12,0.9503678807977758,6.945315643304717,8.214687585662972,17.166563826744195,18.963742058305023
2010-10-08,1.6497447603290194,21.81,2.41,2.06,0.8522601791989304,2.9232232596455354,6.759645377446732,13.27983325980373,15.023810075088196
2010-10-15,0.9475103429482656,19.2275,2.59,2.22,0.8510600382367767,2.001380749299364,6.850940931246097,12.324547073961512,13.737583738542769
2010-10-22,0.5857909854423582,19.512,2.59,2.24,0.8941486767251534,0.5342046686727109,6.302199459315627,10.244453269782671,12.694836279486443
2010-10-29,0.0152190652893846,20.572,2.63,2.29,0.7415960430165758,3.5030298353516676,7.457362668062539,8.108949037403868,12.494292429404009
2010-11-05,3.599375071312383,19.948,2.58,2.2,0.6668431635239154,1.186935523751198,5.497411264883834,7.174619651164771,6.061921121973413
2010-11-12,-2.1731871908472256,19.1125,2.76,2.25,0.7136122420080443,3.7274601361084736,7.016287171485791,11.107318783280974,5.9847751327167575
2010-11-19,0.0433635099931439,20.266,2.88,2.36,0.7874489878105528,4.754406407366263,6.385602310415739,10.705747590502002,5.982181049039825
2010-11-26,-0.8610234155065011,20.195,2.87,2.36,0.8797304213892031,5.737345622469814,10.212709619117867,10.953424131721823,6.646201877854763
2010-12-03,2.968718328455755,20.766,3.03,2.54,1.0265789149183953,3.8204995921387486,8.527738550980256,9.19973279706694,9.386719033444635
2010-12-10,1.2811248358388427,17.722,3.32,2.68,0.9944693827066138,4.259913316695796,8.27233016220179,9.933082756564948,8.336022442671776
2010-12-17,0.2829740161673255,17.32,3.33,2.72,0.8773765712604,3.1706425965330576,6.1073525106841275,7.740906845862616,5.806688464924448
2010-12-24,1.0338356471288668,16.205,3.41,2.74,0.7394994318830452,1.5571620889207605,5.122656005656889,6.445093274122771,7.021968906683096
2010-12-31,0.0692246873864821,17.548000000000002,3.3,2.69,0.4909374987498048,4.232529169615362,3.7085345651534096,6.013644922386963,2.754366451843593
2011-01-07,1.1020630061168155,17.31,3.34,2.74,0.370551195093017,4.534016863080037,0.6063673564687733,4.687375193546028,-5.672040512558974
2011-01-14,1.7097908167027054,16.503999999999998,3.35,2.76,0.3896155510713946,3.848475140505836,1.5898099926544562,0.5350935632649323,-8.848313731768165
2011-01-21,-0.7647470479663299,17.409999999999997,3.44,2.81,0.4537442696967196,2.8464588765193755,3.822812134418019,-0.9638832237901407,-12.453340813451463
2011-01-28,-0.5462274437200487,17.613999999999997,3.36,2.82,0.512033833327391,3.510824685721592,4.0608364160788835,-0.37920663380638375,-7.798856077362826
2011-02-04,2.7053943480240594,17.416,3.68,2.91,0.7051026582744082,-0.5027169623882499,0.6720772179214407,-3.2360221916224563,-10.443447857071785
2011-02-11,1.3944959732822948,15.948,3.64,2.79,0.7092357988103175,-3.75729319935707,0.6191912363224583,0.791484733703185,-13.160293475706354
2011-02-18,1.042770574952412,16.412,3.59,2.81,0.6655568994157195,-2.174962265739,1.5338661243137208,0.05882599956477108,-9.45637032311948
2011-02-25,-1.7222511161215426,20.8675,3.42,2.7,0.833499070624462,0.9493309430039787,1.5395298219451847,-0.2833583523153327,-13.89898706649193
2011-03-04,0.0962223479825219,19.544,3.49,2.81,0.7970090081219745,0.5313567272091868,1.2579945358256017,1.806758859787605,-14.360971650656895
