experiment_name_x,period_type,n_periods,avg_entropy,std_entropy,min_entropy,max_entropy,avg_concentration,entropy_trend,top_timestep,phase_prefix,experiment_name_y,phase,dir_acc,sharpe_ratio,test_rmse,test_mae,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,problematic_pct,pred_std,composite_score,collapsed,collapse_type
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h18_drop0.20_lr5,01_staleness_features_fixed,0.53203125,0.932977604125106,1.0850489139556885,0.7734752893447876,True,False,True,True,43.671875,15.234375,38.75,2.34375,0.0,56.328125,0.0451827956645015,0.527609208275956,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h18_drop0.25_lr3,01_staleness_features_fixed,0.5265625,0.7289628927286645,1.0833972692489624,0.7733455300331116,True,True,True,True,28.90625,3.75,62.890625,2.34375,2.109375,71.09375,0.0417062745622875,0.5164137731012713,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h18_drop0.25_lr5,01_staleness_features_fixed,0.52890625,0.8305074115212557,1.084138035774231,0.7732530832290649,True,False,True,True,42.890625,7.890625,46.953125,2.265625,0.0,57.109375,0.0452141215823654,0.5188164345647057,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h18_drop0.30_lr3,01_staleness_features_fixed,0.53125,0.8126342723578732,1.083349108695984,0.7734812498092651,True,True,True,True,41.015625,4.296875,49.921875,1.015625,3.75,58.984375,0.0401818098286865,0.5204679748693516,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h18_drop0.30_lr5,01_staleness_features_fixed,0.52265625,0.7583260844799576,1.0840727090835571,0.7736563682556152,True,False,True,True,46.796875,8.046875,42.890625,2.265625,0.0,53.203125,0.0473302463968404,0.5061303571844985,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h18_drop0.35_lr3,01_staleness_features_fixed,0.53671875,0.8329736080938573,1.0832078456878662,0.7729004621505737,True,True,False,True,2.34375,0.0,87.734375,3.28125,6.640625,97.65625,0.0323353977584673,0.5223333070226146,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h18_drop0.35_lr5,01_staleness_features_fixed,0.52890625,0.7791432483891337,1.0836902856826782,0.7732452750205994,True,True,True,True,31.71875,3.359375,60.62499999999999,1.5625,2.734375,68.28125,0.0401424944578175,0.5138114148170922,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h20_drop0.15_lr3,01_staleness_features_fixed,0.53671875,0.8329736080938573,1.0842081308364868,0.7737258076667786,True,True,True,True,2.265625,0.078125,83.984375,8.671875,5.0,97.734375,0.0295782419577013,0.5201192178552054,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h20_drop0.15_lr5,01_staleness_features_fixed,0.53671875,0.8329736080938573,1.0844950675964355,0.7734978795051575,True,False,True,True,2.265625,0.078125,92.65625,5.0,0.0,97.734375,0.0304919345227897,0.5261993718104966,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h20_drop0.20_lr3,01_staleness_features_fixed,0.53671875,0.8329736080938573,1.084400653839111,0.7737122178077698,True,True,False,True,2.34375,0.0,83.125,9.609375,4.921875,97.65625,0.0405045047031106,0.5158898657094781,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h20_drop0.20_lr5,01_staleness_features_fixed,0.53671875,0.8329736080938573,1.0848807096481323,0.774152398109436,False,False,False,True,2.34375,0.0,97.65625,0.0,0.0,97.65625,0.039999458429336,0.5086658475058359,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h20_drop0.25_lr3,01_staleness_features_fixed,0.53671875,0.8329736080938573,1.084205985069275,0.7737765908241272,True,False,True,True,2.265625,0.078125,80.546875,17.109375,0.0,97.734375,0.0390386826528175,0.5061522917326353,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h20_drop0.25_lr5,01_staleness_features_fixed,0.53671875,0.8329736080938573,1.086018681526184,0.7751477360725403,True,False,False,True,2.34375,0.0,97.578125,0.078125,0.0,97.65625,0.0525040084494894,0.5015375604302745,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h20_drop0.30_lr3,01_staleness_features_fixed,0.53671875,0.8329736080938573,1.085390567779541,0.7749071717262268,True,True,False,True,2.34375,0.0,80.78125,9.296875,7.578124999999999,97.65625,0.0532702939350167,0.5028532497803093,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h20_drop0.30_lr5,01_staleness_features_fixed,0.53671875,0.8329736080938573,1.0859981775283811,0.77515709400177,False,False,False,True,2.34375,0.0,97.65625,0.0,0.0,97.65625,0.0511895435647517,0.5059853759195712,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h20_drop0.35_lr3,01_staleness_features_fixed,0.53671875,0.8329736080938573,1.0859805345535278,0.774996817111969,True,False,True,True,2.265625,0.078125,85.625,12.03125,0.0,97.734375,0.0452742498805788,0.5011914555825976,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h20_drop0.35_lr5,01_staleness_features_fixed,0.53671875,0.8329736080938573,1.0861010551452637,0.7753991484642029,True,False,False,True,2.34375,0.0,82.8125,14.84375,0.0,97.65625,0.0575863524438342,0.5065204883791002,True,
