experiment,frequency,quantiles,horizon,seed,epoch,dir_acc,base_rate,excess_dir_acc,sharpe,healthy_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,pred_std,pct_positive,mae,collapse_pct
daily_3q_h5_s456,daily,3q,5,456,21,0.5359937402190923,0.539,-0.0030062597809077385,0.8305442539657977,2.3474178403755865,96.32237871674492,1.330203442879499,0.0,0.0318100340664386,100.0,0.7732757925987244,1.330203442879499
daily_5q_h30_s123,daily,5q,30,123,20,0.5227454110135674,0.539,-0.016254588986432617,0.535173467689929,23.86272944932163,55.94573024740623,0.8778930566640064,5.267358339984039,0.0279183909296989,87.86911412609737,0.781481921672821,6.145251396648045
daily_5q_h30_s42,daily,5q,30,42,37,0.5578611332801277,0.539,0.018861133280127618,1.136325898976535,22.505985634477256,54.668794892258575,16.919393455706306,0.0,0.0582695268094539,77.33439744612929,0.7787154912948608,16.919393455706306
daily_7q_h10_s123,daily,7q,10,123,36,0.5349567949725059,0.539,-0.004043205027494112,0.8254103214128916,11.154752553024352,73.29143754909663,6.598586017282011,8.248232521602514,0.0713940411806106,99.45011783189317,0.7806524038314819,14.846818538884525
daily_7q_h10_s42,daily,7q,10,42,34,0.5569520816967792,0.539,0.0179520816967792,1.2827310319509255,37.47054202670856,38.02042419481539,10.290652003142185,0.0,0.0701008290052414,82.6394344069128,0.7731441259384155,10.290652003142185
daily_7q_h10_s456,daily,7q,10,456,99,0.5514532600157109,0.539,0.012453260015710899,0.9606025776221132,13.040062843676356,52.78868813825609,14.061272584446192,6.520031421838178,0.0422610491514205,78.00471327572663,0.7737683057785034,20.58130400628437
daily_7q_h1_s123,daily,7q,1,123,32,0.5374414976599063,0.539,-0.0015585023400936926,0.8380294796085687,2.2620904836193447,64.1185647425897,18.174726989079563,15.366614664586583,0.0197874922305345,100.0,0.7715431451797485,33.541341653666144
daily_7q_h1_s42,daily,7q,1,42,52,0.5374414976599063,0.539,-0.0015585023400936926,0.8529690613017338,64.97659906396255,22.38689547581903,0.0,0.0,0.0698885023593902,76.28705148205928,0.7717083096504211,0.0
daily_7q_h1_s456,daily,7q,1,456,49,0.5374414976599063,0.539,-0.0015585023400936926,0.8380294796085687,2.3400936037441498,95.3978159126365,1.40405616224649,0.858034321372855,0.0587430670857429,100.0,0.7741791605949402,2.262090483619345
daily_7q_h20_s123,daily,7q,20,123,98,0.5360253365003959,0.539,-0.00297466349960418,0.8537735039551904,7.04671417260491,77.7513855898654,10.530482977038796,4.592240696753761,0.1001600101590156,99.7624703087886,0.7872709035873413,15.122723673792557
daily_7q_h20_s42,daily,7q,20,42,37,0.5581947743467933,0.539,0.019194774346793286,1.3568309455544596,22.0110847189232,64.37054631828978,0.1583531274742676,3.32541567695962,0.0968606397509574,72.52573238321457,0.7751644253730774,3.4837688044338875
daily_7q_h20_s456,daily,7q,20,456,55,0.55027711797308,0.539,0.011277117973079953,0.8202569327375872,14.56848772763262,50.752177355502766,17.49802058590657,0.0,0.0403363779187202,79.1765637371338,0.7768517136573792,17.49802058590657
daily_7q_h30_s123,daily,7q,30,123,55,0.5355147645650439,0.539,-0.0034852354349561576,1.4585269737257287,50.27932960893855,28.252194732641662,2.474062250598564,0.9577015163607342,0.1012505739927291,59.13806863527535,0.783609926700592,3.4317637669592984
daily_7q_h30_s42,daily,7q,30,42,29,0.5355147645650439,0.539,-0.0034852354349561576,0.7981637665396782,16.75977653631285,50.75818036711891,26.975259377494016,0.3192338387869114,0.0305955708026886,94.09417398244214,0.7810764908790588,27.294493216280927
daily_7q_h30_s456,daily,7q,30,456,46,0.5466879489225858,0.539,0.00768794892258573,0.8402709550106098,13.487629688747008,19.233838786911413,48.44373503591381,0.0,0.0327364727854728,85.79409417398244,0.7807198166847229,48.44373503591381
daily_7q_h3_s42,daily,7q,3,42,39,0.55078125,0.539,0.011781249999999965,1.2088041536487235,31.796875000000004,62.34375,0.78125,0.0,0.0424750074744224,84.84375,0.7719182968139648,0.78125
daily_7q_h3_s456,daily,7q,3,456,21,0.540625,0.539,0.0016249999999999876,0.8863850402269361,11.171875,80.390625,7.34375,0.15625,0.0411232858896255,96.484375,0.7733235359191895,7.5
daily_7q_h5_s123,daily,7q,5,123,23,0.5359937402190923,0.539,-0.0030062597809077385,0.8305442539657977,2.3474178403755865,85.91549295774648,5.712050078247262,6.025039123630673,0.0399599261581897,100.0,0.7760657072067261,11.737089201877936
daily_7q_h5_s42,daily,7q,5,42,34,0.5571205007824727,0.539,0.018120500782472626,1.1295949085467454,39.0453834115806,52.26917057902973,1.486697965571205,0.0,0.048410166054964,82.08137715179969,0.7725094556808472,1.486697965571205
daily_7q_h5_s456,daily,7q,5,456,32,0.5359937402190923,0.539,-0.0030062597809077385,0.8305442539657977,2.3474178403755865,94.20970266040688,3.442879499217528,0.0,0.0242460593581199,100.0,0.774425745010376,3.442879499217528
weekly_3q_h1_s123,weekly,3q,1,123,77,0.5287356321839081,0.568,-0.03926436781609188,1.0380664754786195,17.624521072796934,58.620689655172406,5.363984674329502,4.980842911877394,0.3881931006908417,47.12643678160919,1.775161862373352,10.344827586206897
weekly_3q_h1_s42,weekly,3q,1,42,20,0.5670498084291188,0.568,-0.0009501915708811648,0.883413376766828,2.2988505747126435,80.45977011494253,4.980842911877394,12.260536398467432,0.0961910933256149,100.0,1.7408355474472046,17.241379310344826
weekly_3q_h1_s456,weekly,3q,1,456,91,0.5670498084291188,0.568,-0.0009501915708811648,0.883413376766828,2.2988505747126435,91.95402298850574,4.597701149425287,1.1494252873563218,0.1319173723459243,100.0,1.7314577102661133,5.747126436781609
weekly_3q_h3_s123,weekly,3q,3,123,50,0.5366795366795367,0.568,-0.03132046332046323,1.023337138184652,15.05791505791506,64.0926640926641,4.633204633204633,6.563706563706563,0.4887109398841858,46.33204633204633,1.8021066188812256,11.196911196911195
weekly_3q_h3_s42,weekly,3q,3,42,21,0.5637065637065637,0.568,-0.004293436293436259,0.8694387949745734,2.3166023166023164,82.62548262548263,3.861003861003861,11.196911196911197,0.1168416365981102,100.0,1.7500011920928955,15.057915057915057
weekly_3q_h3_s456,weekly,3q,3,456,40,0.5637065637065637,0.568,-0.004293436293436259,0.8694387949745734,2.3166023166023164,90.34749034749036,6.177606177606178,1.1583011583011582,0.1628007441759109,100.0,1.750826716423035,7.335907335907336
weekly_3q_h5_s123,weekly,3q,5,123,45,0.5369649805447471,0.568,-0.031035019455252888,1.1995752341797048,34.63035019455253,47.85992217898833,2.723735408560312,1.9455252918287935,0.28481325507164,45.13618677042802,1.7724298238754272,4.669260700389105
weekly_3q_h5_s42,weekly,3q,5,42,22,0.556420233463035,0.568,-0.011579766536964908,0.8135929052606857,15.56420233463035,59.53307392996109,20.62256809338521,3.891050583657588,0.1492530405521392,92.21789883268482,1.7580195665359497,24.513618677042796
weekly_3q_h5_s456,weekly,3q,5,456,22,0.5642023346303502,0.568,-0.003797665369649761,0.8621650859705566,2.3346303501945527,63.81322957198443,15.56420233463035,18.28793774319066,0.1068137064576149,100.0,1.7507822513580322,33.85214007782101
weekly_7q_h1_s123,weekly,7q,1,123,70,0.578544061302682,0.568,0.01054406130268204,0.9685783585805068,13.409961685823754,73.5632183908046,2.681992337164751,2.2988505747126435,0.1223518550395965,89.65517241379311,1.7418527603149414,4.980842911877394
weekly_7q_h1_s42,weekly,7q,1,42,98,0.578544061302682,0.568,0.01054406130268204,0.904631419317978,18.773946360153257,77.01149425287356,1.532567049808429,1.532567049808429,0.2340367287397384,91.18773946360152,1.7252687215805054,3.065134099616858
weekly_7q_h1_s456,weekly,7q,1,456,21,0.5823754789272031,0.568,0.014375478927203145,0.9482908659503184,13.79310344827586,51.34099616858238,10.344827586206897,12.260536398467432,0.0932668894529342,66.28352490421456,1.7473878860473633,22.605363984674327
weekly_7q_h3_s123,weekly,7q,3,123,38,0.5405405405405406,0.568,-0.02745945945945938,1.1682692138364374,47.87644787644788,35.907335907335906,0.7722007722007722,0.0,0.2052663713693618,58.301158301158296,1.7532739639282229,0.7722007722007722
weekly_7q_h3_s456,weekly,7q,3,456,21,0.5637065637065637,0.568,-0.004293436293436259,0.8694387949745734,1.9305019305019304,62.93436293436293,20.463320463320464,14.285714285714285,0.0327686816453933,100.0,1.742799162864685,34.74903474903475
weekly_7q_h5_s123,weekly,7q,5,123,29,0.5642023346303502,0.568,-0.003797665369649761,0.8621650859705566,2.3346303501945527,89.49416342412452,1.556420233463035,6.614785992217899,0.1091403290629386,100.0,1.753576636314392,8.171206225680935
weekly_7q_h5_s456,weekly,7q,5,456,21,0.5642023346303502,0.568,-0.003797665369649761,0.8621650859705566,1.9455252918287935,54.86381322957199,31.1284046692607,11.673151750972762,0.0318803749978542,100.0,1.752020001411438,42.80155642023346
