experiment_name,phase,group,hidden_size,dropout,learning_rate,best_val_loss,total_epochs,early_stopped,test_mse,test_rmse,test_r2,dir_acc,sharpe_ratio,auc_roc,alpha,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,problematic_pct,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,pred_std,num_unique,pct_positive,pct_negative,composite_score,evaluated
learn2r_d025_lb2,05a_regime_output,other,16,0.25,0.0005,0.3931656777858734,100,False,1.1772876977920532,1.085028886795044,-0.001959562301635742,0.5374414976599063,0.8380294796085687,0.4682666914681933,0.0,2.3400936037441498,0.0,89.39157566302653,3.58814352574103,4.6801872074882995,97.65990639625586,True,True,False,True,0.05289685861608541,1270,100.0,0.0,0.5057081891280997,True
learn2r_d025_lb2_mlp,05a_regime_output,other,16,0.25,0.0005,0.39997318387031555,56,True,1.1710352897644043,1.082143783569336,0.0033617019653320312,0.5374414976599063,0.8380294796085687,0.48219062747046454,0.0,2.3400936037441498,0.0,96.801872074883,0.858034321372855,0.0,97.65990639625585,True,False,False,True,0.021651816221926214,1259,100.0,0.0,0.5196321251303708,True
learn3r_d010_lb0,05a_regime_output,other,16,0.1,0.0005,0.39308789372444153,91,True,1.1779252290725708,1.085322618484497,-0.0025022029876708984,0.5351014040561622,0.6516636593021504,0.542727564204544,-0.3485985994338989,13.494539781591264,19.81279251170047,58.11232449297972,6.708268330733229,1.87207488299532,86.50546021840874,True,True,True,True,0.03918931466280615,1273,95.86583463338533,4.134165366614664,0.5778289682607063,True
learn3r_d010_lb0_mlp,05a_regime_output,other,16,0.1,0.0005,0.3974429666996002,61,True,1.1746563911437988,1.0838156938552856,0.000279843807220459,0.5374414976599063,0.8380294796085687,0.47809103302437483,0.0,2.3400936037441498,0.0,96.72386895475819,0.93603744149766,0.0,97.65990639625585,True,False,False,True,0.024686924686705306,1273,100.0,0.0,0.5155325306842812,True
learn3r_d010_lb1,05a_regime_output,other,16,0.1,0.0005,0.39288321137428284,99,True,1.1752161979675293,1.0840739011764526,-0.00019657611846923828,0.5374414976599063,0.8380294796085687,0.47326207789474206,0.0,2.3400936037441498,0.0,74.80499219968799,7.254290171606864,15.600624024960998,97.65990639625585,True,True,False,True,0.048300242611821906,1265,100.0,0.0,0.5107035755546484,True
learn3r_d010_lb1_mlp,05a_regime_output,other,16,0.1,0.0005,0.3991016745567322,53,True,1.175263524055481,1.0840957164764404,-0.00023686885833740234,0.5366614664586583,0.7520205267083292,0.48665000722018126,-0.16780054569244385,2.3400936037441498,0.0,94.53978159126365,3.1201248049921997,0.0,97.65990639625585,True,False,False,True,0.02247353228238834,1271,99.9219968798752,0.078003120124805,0.5233114736788396,True
learn3r_d010_lb2,05a_regime_output,other,16,0.1,0.0005,0.39292919635772705,99,True,1.175708293914795,1.0843008756637573,-0.0006153583526611328,0.5374414976599063,0.8380294796085687,0.4729708231251393,0.0,2.3400936037441498,0.0,74.80499219968799,7.48829953198128,15.366614664586583,97.65990639625585,True,True,False,True,0.05092709924944086,1266,100.0,0.0,0.5104123207850456,True
learn3r_d010_lb2_mlp,05a_regime_output,other,16,0.1,0.0005,0.3982180655002594,53,True,1.1760833263397217,1.084473729133606,-0.0009344816207885742,0.5366614664586583,0.7520205267083292,0.4780004748187,-0.16780054569244385,2.3400936037441498,0.0,93.13572542901716,1.40405616224649,3.1201248049921997,97.65990639625585,True,True,False,True,0.019450968770071388,1269,99.9219968798752,0.078003120124805,0.5146619412773583,True
learn3r_d025_lb0,05a_regime_output,other,16,0.25,0.0005,0.3966869115829468,77,True,1.175728440284729,1.0843101739883423,-0.0006325244903564453,0.5374414976599063,0.8380294796085687,0.46709677735163757,0.0,2.3400936037441498,0.0,89.39157566302653,2.9641185647425896,5.30421216848674,97.65990639625586,True,True,False,True,0.036057259282860375,1273,100.0,0.0,0.5045382750115439,True
learn3r_d025_lb0_mlp,05a_regime_output,other,16,0.25,0.0005,0.4005410373210907,53,True,1.1739856004714966,1.0835061073303223,0.0008507370948791504,0.5374414976599063,0.8380294796085687,0.47320088991793474,0.0,2.3400936037441498,0.0,92.74570982839313,0.31201248049922,4.6021840873634945,97.65990639625585,True,True,False,True,0.023167372761685828,1270,100.0,0.0,0.5106423875778411,True
