Date,SP500_Returns,VIX,Treasury_10Y,Yield_Spread,SP500_Volatility,cumret_5,cumret_10,cumret_20,cumret_30
2010-02-08,-0.886329049344714,26.51,3.62,2.83,1.224647598785477,3.6082674295647266,3.5827153038057613,7.921528636285813,11.112483183767141
2010-02-09,1.3040132316577413,26.0,3.67,2.83,1.2771130688711212,2.708028780916094,3.243280841989993,7.01434484645993,9.079694858432962
2010-02-10,-0.2232573520188796,25.4,3.72,2.81,1.269370726389765,3.6156642862424038,3.2589606475155852,7.687265124676501,9.137462213379631
2010-02-11,0.9680437561949252,23.96,3.73,2.82,1.2760797066242868,2.8466321804186956,2.412679095207948,6.631619004154654,8.170834377496504
2010-02-12,-0.2744592819371894,22.73,3.69,2.85,1.2698570335133623,3.0218221778412158,3.737757046132484,6.973435795018235,9.084988521751946
2010-02-16,1.800074864554846,22.25,3.66,2.84,1.3403799331358257,-0.02466224597023059,2.140899246586203,5.899327418630995,7.1606697382980755
2010-02-17,0.4237959455579698,21.72,3.74,2.87,1.3064291994113764,0.5211394546531967,1.7535110299709222,6.066334146979968,6.359200309619406
2010-02-18,0.6584742448973557,20.63,3.79,2.89,1.3045912267703803,-0.34425648012198495,1.4655496456403405,5.338148276908727,6.446801498616428
2010-02-19,0.2186622042297248,20.02,3.78,2.83,1.2381437585848143,-0.4219419498826871,2.6623426577159437,4.5736882947454705,7.056618404742698
2010-02-22,-0.1045857833990249,19.94,3.8,2.89,1.1267283295882893,0.6949351634019774,2.7517793129706813,5.216563778187422,7.349205415377935
2010-02-23,-1.210280959693144,21.37,3.69,2.82,1.158534035477896,2.1660957004060455,4.188742609956142,7.269328534086772,8.025760784336967
2010-02-24,0.972045942422195,20.27,3.7,2.83,1.1739034980007454,1.2259824968196886,3.652599930683542,5.6530691090448615,7.346816247089993
2010-02-25,-0.2081040179913507,20.1,3.64,2.82,1.1710512657401126,1.8160580231899592,4.288542562690889,5.692969916606949,8.28966748582558
2010-02-26,0.1405379177898513,19.5,3.61,2.8,1.135755772602128,3.097353641950229,4.119548425273201,5.622502343616542,8.328730096943215
2010-03-01,1.015850827289455,19.26,3.61,2.81,1.123566414487731,2.042649062965296,3.1190945717544327,5.154566310163733,7.312840321159042
2010-03-02,0.2330442271990751,19.06,3.62,2.82,1.0859035127261174,1.9797633409436743,3.6796505609092645,4.914554824501005,8.257098745622216
2010-03-03,0.0429201602061501,18.83,3.63,2.81,1.0510664126179097,2.397227840134919,4.238500542491064,4.526319763346476,8.301826226540454
2010-03-04,0.3736118033485169,18.72,3.61,2.75,1.0425052664656924,2.4283836827956984,3.8166635323940934,4.9093035718750455,6.158671735129673
2010-03-05,1.4007480947064943,17.42,3.69,2.78,0.7540269098089534,0.9914849869696374,1.8617787082865656,4.2803189887042015,5.165545875262478
