experiment_name,phase,evaluation_type,hidden_size,dropout,learning_rate,best_val_loss,total_epochs,early_stopped,checkpoint_selected,checkpoint_epoch,test_mse,test_rmse,test_mae,test_r2,dir_acc,sharpe_ratio,auc_roc,alpha,precision,recall,f1_score,hit_rate,num_trades,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,problematic_pct,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,pred_std,num_unique,pct_positive,pct_negative,num_negative,composite_score,evaluated,collapsed
core_dynamics_weekly_7q_h5_enc12_s42,12b_feature_sweep,standard,16,0.15,0.0005,1.0836868286132812,100,False,tft-epoch=epoch=90-valloss=val_loss=1.0844,90,5.717761516571045,2.391184091567993,1.8301668167114258,-0.005432605743408203,0.5642458100558659,1.0235900844333752,0.5416666666666666,-0.06626975536346436,0.5963302752293578,0.6565656565656566,0.625,0.36312849162011174,109,24.022346368715084,18.994413407821227,31.843575418994412,25.139664804469277,0.0,75.97765363128491,True,False,True,True,,,60.89385474860335,39.10614525139665,70,0.6059124767225326,True,False
core_dynamics_weekly_7q_h5_enc8_s42,12b_feature_sweep,standard,16,0.25,0.0005,1.0734294652938843,100,False,tft-epoch=epoch=76-predstd=val_pred_std=0.0677,76,5.82494592666626,2.413492441177368,1.8396260738372803,-0.008062243461608887,0.5409836065573771,0.4933757951062225,0.546235778261922,-0.35426878929138184,0.5633802816901409,0.7843137254901961,0.6557377049180328,0.4371584699453552,142,8.19672131147541,22.404371584699454,59.56284153005464,9.289617486338798,0.546448087431694,91.80327868852459,True,True,True,True,,,77.59562841530055,22.404371584699454,41,0.5872193848192991,True,False
macro_heavy_daily_7q_h10_d015_s42,12b_feature_sweep,standard,16,0.15,0.0005,0.40997883677482605,100,False,tft-epoch=epoch=95-unique=val_num_unique=1235,95,1.2242038249969482,1.1064374446868896,0.7839252352714539,-0.016673803329467773,0.5470635559131134,1.0503517187205822,0.5415589145875068,0.0006908178329467773,0.5639097744360902,0.6766917293233082,0.6151742993848257,0.36202735317779566,798,10.217216411906678,8.205953338696702,77.95655671761867,2.091713596138375,1.5285599356395816,89.78278358809332,True,True,True,True,,,64.19951729686244,35.80048270313757,445,0.5886224705006202,True,False
macro_heavy_daily_7q_h1_d010_s42,12b_feature_sweep,standard,16,0.1,0.0005,0.39075717329978943,100,False,tft-epoch=epoch=82-valloss=val_loss=0.3911,82,1.1984697580337524,1.094746470451355,0.7814606428146362,0.00030344724655151367,0.5343450479233227,0.801253032126234,0.4928004984270319,0.0,0.5343450479233227,1.0,0.6965122332118688,0.5343450479233227,1252,2.3961661341853033,0.0,93.9297124600639,3.4345047923322687,0.23961661341853036,97.60383386581469,True,True,False,True,0.017953,1251.0,100.0,0.0,0,0.5271455463503546,True,True
macro_heavy_daily_7q_h1_d015_s42,12b_feature_sweep,standard,16,0.15,0.0005,0.3915771245956421,100,False,tft-epoch=epoch=00-composite=val_composite=0.4483,0,1.228567123413086,1.1084074974060059,0.7975283265113831,-0.024802088737487793,0.476038338658147,0.4253954017566002,0.5302863647901299,-0.7692978382110596,0.5764705882352941,0.07324364723467862,0.129973474801061,0.03913738019169329,85,7.907348242811501,6.94888178913738,17.412140575079874,17.0926517571885,50.638977635782744,92.09265175718849,True,True,True,True,0.065376,1251.0,6.78913738019169,93.21086261980831,1167,0.506324703448277,True,False
macro_heavy_daily_7q_h3_d010_s42,12b_feature_sweep,standard,16,0.1,0.0005,0.39261528849601746,100,False,tft-epoch=epoch=98-predstd=val_pred_std=0.0361,98,1.1984747648239136,1.0947487354278564,0.777338445186615,0.00033104419708251953,0.5536,1.209328227073331,0.5440639339876947,0.2989567518234253,0.556935817805383,0.8053892215568862,0.6585067319461444,0.4304,966,13.44,5.04,70.39999999999999,7.04,4.08,86.56,True,True,True,True,,,77.28,22.720000000000002,284,0.5976639339876947,True,False
macro_heavy_daily_7q_h3_d015_s42,12b_feature_sweep,standard,16,0.15,0.0005,0.39451470971107483,100,False,tft-epoch=epoch=98-predstd=val_pred_std=0.0286,98,1.193452000617981,1.0924522876739502,0.7783371806144714,0.004520595073699951,0.5512,1.127665972983234,0.5394108689836822,0.202337384223938,0.5549845837615622,0.8083832335329342,0.6581352833638027,0.432,973,9.76,5.52,84.72,0.0,0.0,90.24,False,False,True,True,,,77.84,22.16,277,0.5906108689836822,True,False
macro_heavy_daily_7q_h5_d010_s42,12b_feature_sweep,standard,16,0.1,0.0005,0.39853301644325256,100,False,tft-epoch=epoch=92-predstd=val_pred_std=0.0294,92,1.2037348747253418,1.0971485376358032,0.7792918086051941,-0.0027838945388793945,0.5544871794871795,1.1772548388679276,0.5368650629774933,0.21484267711639404,0.5616740088105727,0.7634730538922155,0.6472081218274113,0.40865384615384615,908,18.58974358974359,8.012820512820513,66.50641025641025,5.769230769230769,1.1217948717948718,81.41025641025641,True,True,True,True,,,72.75641025641026,27.24358974358974,340,0.5913522424646728,True,False
macro_heavy_daily_7q_h5_d015_s42,12b_feature_sweep,standard,16,0.15,0.0005,0.3991386592388153,100,False,tft-epoch=epoch=99-predstd=val_pred_std=0.0361,99,1.2023781538009644,1.0965300798416138,0.7784585952758789,-0.0016536712646484375,0.5520833333333334,1.1413468795726593,0.5402978525707206,0.16129791736602783,0.5600882028665931,0.7604790419161677,0.645079365079365,0.40705128205128205,907,17.467948717948715,9.615384615384617,68.99038461538461,3.926282051282051,0.0,82.53205128205127,True,False,True,True,,,72.67628205128206,27.323717948717945,341,0.592381185904054,True,False
macro_heavy_weekly_7q_h1_enc8_s42,12b_feature_sweep,standard,16,0.25,0.0005,0.7345143556594849,100,False,tft-epoch=epoch=01-composite=val_composite=0.4968,1,5.1774725914001465,2.2754061222076416,1.778694748878479,-0.04670822620391846,0.46808510638297873,0.6968217846361593,0.5422049324721081,-0.5575419664382935,0.6875,0.08396946564885496,0.14965986394557823,0.04680851063829787,16,11.48936170212766,1.276595744680851,25.106382978723403,1.276595744680851,60.851063829787236,88.51063829787233,True,True,True,True,0.138206,235.0,6.808510638297875,93.19148936170212,219,0.5102900388550868,True,False
macro_heavy_weekly_7q_h3_enc12_s42,12b_feature_sweep,standard,16,0.15,0.0005,0.7430936694145203,100,False,tft-epoch=epoch=00-composite=val_composite=0.4991,0,5.1101484298706055,2.260563850402832,1.758497714996338,-0.036760568618774414,0.4585152838427948,0.6458380719861977,0.5611627906976744,-0.5910665988922119,0.6086956521739131,0.10852713178294573,0.1842105263157895,0.0611353711790393,23,6.550218340611353,8.296943231441048,23.144104803493452,23.580786026200872,38.427947598253276,93.44978165938865,True,True,True,True,,,10.043668122270745,89.95633187772926,206,0.5196780745404692,True,False
macro_heavy_weekly_7q_h3_enc8_s42,12b_feature_sweep,standard,16,0.25,0.0005,0.7390279173851013,100,False,tft-epoch=epoch=01-composite=val_composite=0.4945,1,5.106441974639893,2.2597436904907227,1.7588921785354614,-0.0393751859664917,0.45493562231759654,0.6831168581587608,0.550666067953899,-0.652573823928833,0.5909090909090909,0.09923664122137404,0.16993464052287582,0.055793991416309016,22,8.15450643776824,8.15450643776824,22.317596566523605,1.7167381974248928,59.65665236051502,91.84549356223175,True,True,True,True,,,9.442060085836914,90.55793991416309,211,0.5056016902714956,True,False
macro_heavy_weekly_7q_h5_enc12_s42,12b_feature_sweep,standard,16,0.15,0.0005,0.7452316284179688,100,False,tft-epoch=epoch=00-composite=val_composite=0.4944,0,5.125171184539795,2.2638840675354004,1.7595489025115967,-0.03554725646972656,0.44493392070484583,0.2749415852110621,0.5674735010283184,-0.7019906044006348,0.5555555555555556,0.11627906976744186,0.19230769230769232,0.06607929515418502,27,5.286343612334802,8.81057268722467,24.229074889867842,28.193832599118945,33.480176211453745,94.7136563876652,True,True,True,True,,,11.894273127753308,88.10572687224669,200,0.5124074217331642,True,False
macro_heavy_weekly_7q_h5_enc8_s42,12b_feature_sweep,standard,16,0.25,0.0005,0.7449264526367188,100,False,tft-epoch=epoch=94-predstd=val_pred_std=0.0742,94,4.932989597320557,2.2210333347320557,1.706902027130127,-0.00011408329010009766,0.5670995670995671,0.9305560458284869,0.5313740458015267,0.0,0.5670995670995671,1.0,0.7237569060773481,0.5670995670995671,231,2.1645021645021645,0.0,52.81385281385281,8.658008658008658,36.36363636363637,97.83549783549785,True,True,False,True,,,100.0,0.0,0,0.5984736129010938,True,True
