experiment_name,phase,hidden_size,dropout,has_staleness,n_periods,n_features,avg_concentration,std_concentration,min_concentration,max_concentration,concentration_trend,top_feature,feature_stability
12b_feature_sweep/market_only_daily_7q_h1_d015_s42,12b_feature_sweep,1,,False,4,5,0.63402359187603,0.0023330117702750485,0.6316303610801697,0.6366338729858398,-9.905695915226272e-05,VIX,1.0
12b_feature_sweep/core_dynamics_weekly_7q_h3_enc8_s42,12b_feature_sweep,3,,False,4,9,0.5305032283067703,0.02529536787915473,0.5036433935165405,0.5715815424919128,-0.01842052340507502,VIX,1.0
12b_feature_sweep/market_only_daily_7q_h5_d010_s42,12b_feature_sweep,5,,False,4,5,0.4783135876059532,0.024621298298858348,0.4512447714805603,0.5116820335388184,-0.020033583045005885,VIX,1.0
12b_feature_sweep/core_dynamics_daily_7q_h3_d010_s42,12b_feature_sweep,3,,False,4,9,0.3428470864892006,0.04873853577783402,0.30548959970474243,0.4264615476131439,-0.03534242808818812,VIX,1.0
12b_feature_sweep/macro_heavy_weekly_7q_h3_enc8_s42,12b_feature_sweep,3,,False,6,7,0.2737303202350934,0.07455547001616447,0.18305271863937378,0.3957306742668152,0.03500243978840962,Industrial_Production,0.8333333333333334
12b_feature_sweep/macro_heavy_daily_7q_h3_d010_s42,12b_feature_sweep,3,,False,6,7,0.23925692836443582,0.02740756615608332,0.1942438930273056,0.27080971002578735,0.0052881564412798196,VIX,1.0
12b_feature_sweep/market_only_daily_7q_h1_d010_s42,12b_feature_sweep,1,,False,4,5,0.621037095785141,0.0029454598754646,0.6162112951278687,0.6237106323242188,0.0015352845191956167,VIX,1.0
12b_feature_sweep/macro_heavy_weekly_7q_h1_enc8_s42,12b_feature_sweep,1,,False,6,7,0.2550833721955617,0.07065827570882974,0.17952728271484375,0.3706856966018677,0.03317294972283498,Industrial_Production,0.6666666666666666
12b_feature_sweep/core_dynamics_daily_7q_h10_d015_s42,12b_feature_sweep,10,,False,4,9,0.3305530846118927,0.048756240189004436,0.2914474606513977,0.4111739695072174,-0.03943348526954653,VIX,1.0
12b_feature_sweep/core_dynamics_weekly_7q_h3_enc12_s42,12b_feature_sweep,3,,False,4,9,0.3837296888232231,0.04006823448295086,0.3480178415775299,0.44992882013320923,-0.031374183297157285,VIX,1.0
