experiment_name_attention,period_type,n_periods,avg_entropy,std_entropy,min_entropy,max_entropy,avg_concentration,entropy_trend,top_timestep,phase_prefix,exp_name_only,experiment_name_collapse,phase,dir_acc,sharpe_ratio,test_rmse,test_mae,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,problematic_pct,pred_std,composite_score,collapsed
06a_weekly_sweep/h16_enc8_d025_bs16,yearly,6,2.046513398488363,0.013850318990615562,2.0239028930664062,2.059396982192993,0.12580323964357376,-0.00374475206647643,7,06a_weekly_sweep,h16_enc8_d025_bs16,h16_enc8_d025_bs16,06a_weekly_sweep,0.5660377358490566,0.9203434216266334,2.2651472091674805,1.7244431972503662,True,True,False,True,2.2641509433962264,0.0,57.73584905660377,8.679245283018867,31.32075471698113,97.73584905660375,0.090345,0.5969362865736944,True
06a_weekly_sweep/h16_enc12_d015_bs32,yearly,6,2.3131271998087564,0.08038021021304607,2.1911909580230713,2.3987207412719727,0.08460225413242976,0.017166055951799413,11,06a_weekly_sweep,h16_enc12_d015_bs32,h16_enc12_d015_bs32,06a_weekly_sweep,0.578544061302682,0.9362429308189004,2.2855827808380127,1.7256630659103394,True,True,True,True,7.2796934865900385,0.3831417624521072,54.02298850574713,16.091954022988507,22.22222222222222,92.72030651340997,0.119358,0.6176495384612565,False
06a_weekly_sweep/h8_enc12_d025_bs32,yearly,6,2.4475236733754477,0.013693195128936114,2.4285824298858643,2.4708454608917236,0.08350417762994766,-0.004115908486502793,5,06a_weekly_sweep,h8_enc12_d025_bs32,h8_enc12_d025_bs32,06a_weekly_sweep,0.5670498084291188,0.883413376766828,2.2866718769073486,1.732717752456665,True,True,False,False,1.9157088122605364,0.0,0.0,43.29501915708812,54.78927203065134,98.08429118773948,0.01796,0.5129359600674828,True
06a_weekly_sweep/h16_enc8_d015_bs32,yearly,6,1.9358569184939067,0.052584227996101456,1.831338882446289,1.988073468208313,0.12523931513230005,0.01599476337432838,7,06a_weekly_sweep,h16_enc8_d015_bs32,h16_enc8_d015_bs32,06a_weekly_sweep,0.5660377358490566,0.8450496295605523,2.2797152996063232,1.7229009866714478,True,True,True,True,9.056603773584904,3.7735849056603774,58.490566037735846,5.660377358490567,23.0188679245283,90.9433962264151,0.100022,0.6147333880229697,False
06a_weekly_sweep/h8_enc12_d030_bs32,yearly,6,2.45231040318807,0.011888202204586192,2.4339866638183594,2.471292018890381,0.0834820605814457,-0.004031835283552199,0,06a_weekly_sweep,h8_enc12_d030_bs32,h8_enc12_d030_bs32,06a_weekly_sweep,0.5670498084291188,0.883413376766828,2.2871086597442627,1.7343268394470217,True,True,False,False,1.9157088122605364,0.0,0.0,51.72413793103448,46.36015325670498,98.08429118773948,0.015184,0.512039045453754,True
06a_weekly_sweep/h8_enc8_d015_bs16,yearly,6,1.948201338450114,0.042347486008601415,1.8785029649734497,1.995768427848816,0.14415613810221353,0.009376791545322838,7,06a_weekly_sweep,h8_enc8_d015_bs16,h8_enc8_d015_bs16,06a_weekly_sweep,0.5660377358490566,0.9203434216266334,2.272517681121826,1.7292135953903198,True,True,True,True,1.8867924528301887,0.3773584905660377,77.35849056603774,5.660377358490567,14.716981132075473,98.11320754716982,0.064427,0.5669073010664478,True
06a_weekly_sweep/h16_enc8_d030_bs16,yearly,6,2.039948344230652,0.025789092542174662,1.9897925853729248,2.068289041519165,0.12543830027182898,0.006710536139351694,7,06a_weekly_sweep,h16_enc8_d030_bs16,h16_enc8_d030_bs16,06a_weekly_sweep,0.5660377358490566,0.9203434216266334,2.286076545715332,1.7315807342529297,True,True,False,True,1.8867924528301887,0.0,58.86792452830189,36.60377358490566,2.6415094339622645,98.1132075471698,0.079216,0.6026174459939841,True
06a_weekly_sweep/h16_enc12_d030_bs16,yearly,6,2.4026854038238525,0.07671403162014176,2.2591865062713623,2.47611403465271,0.08398694793383281,0.0018277985709050798,11,06a_weekly_sweep,h16_enc12_d030_bs16,h16_enc12_d030_bs16,06a_weekly_sweep,0.5670498084291188,0.883413376766828,2.2841789722442627,1.7255226373672483,True,True,True,True,1.9157088122605364,0.3831417624521072,30.65134099616858,37.93103448275862,29.118773946360157,98.08429118773944,0.028203,0.6191306503329695,True
06a_weekly_sweep/h8_enc8_d025_bs32,yearly,6,2.0599899689356485,0.006258204769243317,2.054888963699341,2.0717973709106445,0.12514652063449225,-0.0006319386618480786,7,06a_weekly_sweep,h8_enc8_d025_bs32,h8_enc8_d025_bs32,06a_weekly_sweep,0.5660377358490566,0.9203434216266334,2.2828903198242188,1.7326197624206543,True,True,False,False,1.8867924528301887,0.0,0.0,52.075471698113205,46.0377358490566,98.1132075471698,0.014747,0.5117188952693464,True
06a_weekly_sweep/h16_enc8_d030_bs32,yearly,6,2.012822906176249,0.045652209162384175,1.9289662837982178,2.064028739929199,0.12517357369263968,0.009544556481497393,7,06a_weekly_sweep,h16_enc8_d030_bs32,h16_enc8_d030_bs32,06a_weekly_sweep,0.5735849056603773,1.028136777136107,2.2879958152771,1.7376768589019775,True,True,True,True,15.09433962264151,1.8867924528301887,61.50943396226415,21.13207547169812,0.3773584905660377,84.90566037735849,0.07982,0.6222805578342904,False
06a_weekly_sweep/h8_enc8_d025_bs16,yearly,6,2.0557714700698853,0.004682235784615116,2.0468199253082275,2.0608930587768555,0.1277809664607048,-0.000575276783534697,7,06a_weekly_sweep,h8_enc8_d025_bs16,h8_enc8_d025_bs16,06a_weekly_sweep,0.5660377358490566,0.9203434216266334,2.282020330429077,1.731107473373413,True,True,False,False,1.8867924528301887,0.0,0.0,52.45283018867924,45.66037735849056,98.1132075471698,0.019814,0.5173420836751436,True
06a_weekly_sweep/h16_enc12_d030_bs32,yearly,6,2.362364729245504,0.03054690304031619,2.3226985931396484,2.4073057174682617,0.08396917457381885,0.0014086518968850878,6,06a_weekly_sweep,h16_enc12_d030_bs32,h16_enc12_d030_bs32,06a_weekly_sweep,0.5670498084291188,0.883413376766828,2.286041259765625,1.7321805953979492,True,True,True,True,1.9157088122605364,0.3831417624521072,1.1494252873563218,56.32183908045977,40.22988505747127,98.08429118773948,0.021978,0.6207450966376814,True
06a_weekly_sweep/h8_enc8_d015_bs32,yearly,6,2.0516866048177085,0.008860026768365914,2.0434377193450928,2.067779779434204,0.12565532078345618,-0.001070989881243151,7,06a_weekly_sweep,h8_enc8_d015_bs32,h8_enc8_d015_bs32,06a_weekly_sweep,0.5660377358490566,0.9203434216266334,2.2828738689422607,1.732247829437256,True,True,False,False,1.8867924528301887,0.0,0.0,44.15094339622642,53.9622641509434,98.11320754716982,0.013451,0.5143275909215204,True
06a_weekly_sweep/h8_enc12_d030_bs16,yearly,6,2.425090948740641,0.040964434690099374,2.365875720977783,2.4750866889953613,0.08416632066170375,-0.00010577610560843434,11,06a_weekly_sweep,h8_enc12_d030_bs16,h8_enc12_d030_bs16,06a_weekly_sweep,0.5670498084291188,0.883413376766828,2.2861170768737797,1.730520486831665,True,True,False,False,1.9157088122605364,0.0,0.0,45.21072796934866,52.87356321839081,98.08429118773948,0.018023,0.5164040299072341,True
