experiment_name,period_type,n_periods,avg_entropy,std_entropy,min_entropy,max_entropy,avg_concentration,entropy_trend,top_timestep
01_staleness_features_fixed/sweep_stale_h14_drop0.35_lr3,yearly,6,2.9551999966303506,0.011500366262096261,2.94461727142334,2.9793338775634766,0.050131325920422874,-0.0005174023764474889,4
01_staleness_features_fixed/sweep_stale_h20_drop0.35_lr5,yearly,6,2.96155055363973,0.012698907633886888,2.9394001960754395,2.979811429977417,0.05038108490407467,0.0013866833278110599,19
01_staleness_features_fixed/sweep_stale_h16_drop0.20_lr5,yearly,6,2.7265470822652182,0.10445386530374344,2.607253313064575,2.8971588611602783,0.05487728491425514,0.043307222638811226,19
01_staleness_features_fixed/baseline_fixed_h16_drop0.25,yearly,6,2.8106602827707925,0.11409525614512171,2.61167049407959,2.956252336502075,0.05042140247921149,0.03390748160225983,19
01_staleness_features_fixed/sweep_stale_h22_drop0.20_lr5,yearly,6,2.4977265993754068,0.10379559181567731,2.4040451049804688,2.6909782886505127,0.07996401935815811,-0.039072254725864966,19
01_staleness_features_fixed/sweep_stale_h22_drop0.15_lr3,yearly,6,2.4067653020222983,0.21290846616426296,2.1705732345581055,2.696523666381836,0.0970357172191143,-0.1003446034022739,19
01_staleness_features_fixed/sweep_stale_h18_drop0.35_lr3,yearly,6,2.966346542040507,0.014451122883227554,2.9459128379821777,2.98936128616333,0.05016515341897806,0.00394353185381202,0
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19
01_staleness_features_fixed/sweep_stale_h16_drop0.25_lr5,yearly,6,2.7399247090021768,0.08884198886946958,2.6087002754211426,2.881221055984497,0.05287302223344644,0.03493613515581393,19
01_staleness_features_fixed/sweep_stale_monthly_h16_drop0.25,yearly,5,2.4788535118103026,0.005440338109800879,2.4698901176452637,2.484471559524536,0.08348888307809829,-0.003099226951599521,0
01_staleness_features_fixed/sweep_stale_h18_drop0.20_lr5,yearly,6,2.7232973178227744,0.12923482783699558,2.536173105239868,2.8832483291625977,0.05061739683151245,0.033024413245064735,19
01_staleness_features_fixed/sweep_stale_h14_drop0.25_lr5,yearly,6,2.8355002403259277,0.053724245135395914,2.801037073135376,2.9505722522735596,0.05050499364733696,0.008374895368303612,4
01_staleness_features_fixed/sweep_stale_h16_drop0.30_lr5,yearly,6,2.76650599638621,0.08320412710494601,2.66933536529541,2.9113824367523193,0.05231034693618616,0.03168647629874085,19
01_staleness_features_fixed/sweep_stale_h14_drop0.15_lr3,yearly,6,2.8050003051757812,0.05034901519588931,2.713263511657715,2.884042739868164,0.05175036067763964,0.005623326982770624,19
01_staleness_features_fixed/sweep_stale_h12_drop0.15_lr5,yearly,6,2.913909633954366,0.038754666423490985,2.859041452407837,2.9647603034973145,0.05054927431046963,-0.005957937240600382,19
01_staleness_features_fixed/sweep_stale_h18_drop0.30_lr3,yearly,6,2.940768321355184,0.02371566339813984,2.910626173019409,2.978722095489502,0.050112390890717506,0.007140622820173042,0
01_staleness_features_fixed/sweep_stale_h12_drop0.35_lr5,yearly,6,2.969045042991638,0.020351614285908946,2.938847064971924,2.9876365661621094,0.05007313812772433,-0.005590595517839694,19
01_staleness_features_fixed/sweep_stale_h20_drop0.30_lr3,yearly,6,2.965514381726583,0.01306340300745581,2.9451143741607666,2.982154607772827,0.050478201980392136,-0.0018168381282261414,19
01_staleness_features_fixed/sweep_stale_h22_drop0.30_lr5,yearly,6,2.674385190010071,0.06845677024146149,2.626899242401123,2.824146032333374,0.06541609205305576,-0.02674716540745324,19
01_staleness_features_fixed/sweep_stale_h20_drop0.30_lr5,yearly,6,2.9403990507125854,0.019038805915786557,2.914344310760498,2.9599649906158447,0.05060246400535107,0.001822819028581893,19
01_staleness_features_fixed/sweep_stale_h14_drop0.25_lr3,yearly,6,2.9000582695007324,0.026483409243975617,2.873382568359375,2.9551610946655273,0.05038156546652317,0.0005789211818148589,19
01_staleness_features_fixed/sweep_stale_h16_drop0.15_lr3,yearly,6,2.53858745098114,0.269807676935706,2.0116684436798096,2.8058321475982666,0.08512663779159386,0.12088403020586289,19
01_staleness_features_fixed/sweep_stale_h14_drop0.15_lr5,yearly,6,2.6765374342600503,0.1317013037374176,2.472872495651245,2.8462929725646973,0.051313613230983414,-0.005875873565673721,0
01_staleness_features_fixed/sweep_stale_h16_drop0.35_lr3,yearly,6,2.8523987531661987,0.05375006929303705,2.8048038482666016,2.954047679901123,0.05057398974895477,0.012191847392490933,19
01_staleness_features_fixed/sweep_stale_h20_drop0.25_lr3,yearly,6,2.918546279271444,0.020171262415875472,2.8962059020996094,2.954427719116211,0.05178952527542909,-0.003040463583810062,19
