Date,SP500_Returns,VIX,Inflation_YoY,Unemployment,Fed_Rate,Consumer_Sentiment,Industrial_Production,CPI,cumret_5,cumret_10,cumret_20,cumret_30
2011-06-07,-0.0956407393293945,18.07,3.150120186231198,9.1,0.09,74.3,93.097,224.433,0.22803040177352685,0.8233908670797652,4.224324230863985,3.183030046470492
2011-06-08,-0.4186874918536865,18.79,3.150120186231198,9.1,0.09,74.3,93.097,224.433,-1.105068461106673,0.592387672917627,5.756659221633376,5.020474795452334
2011-06-09,0.7377489898070522,17.77,3.150120186231198,9.1,0.09,74.3,93.097,224.433,-1.6570973895704166,-0.4266873545384464,4.2513614296450175,4.346006169996053
2011-06-10,-1.3979844477308043,18.86,3.150120186231198,9.1,0.09,74.3,93.097,224.433,0.040914848324979936,-0.19906130196812866,3.816740665555862,5.2282549106461795
2011-06-13,0.0668756077199628,19.61,3.150120186231198,9.1,0.09,74.3,93.097,224.433,0.5134357203797402,0.6502456945505442,3.2873937584744217,4.726259596686
2011-06-14,1.2611779574887017,18.26,3.150120186231198,9.1,0.09,74.3,93.097,224.433,0.5940059511492901,0.6833025741331822,2.3177786344203755,1.3215634804583543
2011-06-15,-1.743184580508239,21.32,3.320632965497583,9.1,0.09,74.3,92.9815,224.804,1.7164237920087144,3.318264985234376,3.433638607177958,2.7856362927599188
2011-06-16,0.1754335023968378,22.73,3.320632965497583,9.1,0.09,74.3,92.9815,224.804,1.2511426878522025,4.180997711302026,3.8260073395876892,1.9437706575767155
2011-06-17,0.3045016966140013,21.85,3.320632965497583,9.1,0.09,74.3,92.9815,224.804,-0.2398780045713922,5.361387648078031,2.669283633995234,1.2143091943569884
2011-06-20,0.5395190996116739,19.99,3.4894855080469966,9.1,0.09,74.3,92.9815,224.804,0.13611113100482353,4.655967036928299,3.7837538464476683,-1.901650302105773
2011-06-21,1.342347568472135,18.86,3.4894855080469966,9.1,0.09,74.3,92.9815,224.804,0.08876932789341208,3.3731590799875644,2.3403687964646647,-2.715516022953268
2011-06-22,-0.6468448774604507,18.52,3.4894855080469966,9.1,0.09,74.3,92.9815,224.804,1.5748107665494837,5.133859199671931,4.40201015700401,-6.76461514430946
2011-06-23,-0.2827986549257977,19.29,3.4894855080469966,9.1,0.09,74.3,92.9815,224.804,2.893651316590362,4.69809496128748,4.793145269283161,-6.553953651514465
2011-06-24,-1.1725787945559007,21.1,3.4894855080469966,9.1,0.09,74.3,92.9815,224.804,5.614734164926216,4.023811819721046,5.438141447783074,-11.745831208927793
2011-06-27,0.9184457300265958,20.56,3.4894855080469966,9.1,0.09,74.3,92.9815,224.804,4.513712241141743,2.620110905567974,4.0496810256233085,-8.403245710541063
2011-06-28,1.2944354874931063,19.17,3.4894855080469966,9.1,0.09,74.3,92.9815,224.804,3.2814768071874223,1.6233834394573377,0.6339292514319528,-13.56629120886106
2011-06-29,0.8282747245164312,17.27,3.4894855080469966,9.1,0.09,74.3,92.9815,224.804,3.5038691248977516,0.11166817596099943,-0.5155222966147899,-10.30816775211687
2011-06-30,1.011922818616795,16.52,3.4894855080469966,9.1,0.09,74.3,92.9815,224.804,1.7536977467589976,-0.3407438779748251,-2.147442530666699,-10.739486497570983
2011-07-01,1.4409702179091433,15.87,3.4894855080469966,9.1,0.09,71.5,92.9815,224.804,-1.5063450737099138,-2.555114424911342,-3.9360514760614973,-10.090548364643182
2011-07-05,-0.1336179061844467,16.06,3.4894855080469966,9.1,0.09,71.5,92.9815,224.804,-1.8118209514984218,-0.833409900242843,-6.26588003025208,-10.847011285582331
2011-07-06,0.1001559045222366,16.34,3.4894855080469966,9.1,0.09,71.5,92.9815,224.804,-1.6054121406741007,-0.9990894084254021,-5.889996162572064,-10.851836086224598
2011-07-07,1.0453846497412655,15.95,3.4894855080469966,9.1,0.09,71.5,92.9815,224.804,-3.2773663222612437,-0.6961116506509879,-11.317452278988094,-15.708454714765496
2011-07-08,-0.6961116506509657,15.95,3.4894855080469966,9.2,0.09,71.5,92.9815,224.804,-2.0583444838991327,0.09078513609137584,-10.747137870046641,-16.39157698523225
2011-07-11,-1.8090532601892528,18.39,3.4894855080469966,9.2,0.09,71.5,92.9815,224.804,-1.0648090498685536,1.3596210361076944,-15.159647346877192,-14.829217757882162
2011-07-12,-0.4433512667192274,19.87,3.4894855080469966,9.2,0.09,71.5,92.9815,224.804,0.9964652168284793,1.393070137461505,-10.74190674599138,-11.516856777767192
2011-07-13,0.3105840267646931,19.91,3.4894855080469966,9.2,0.09,71.5,92.9815,224.804,0.6162155311992823,-0.9736481452764068,-14.947027085914478,-10.6335183675194
2011-07-14,-0.6716127692301121,20.8,3.4894855080469966,9.2,0.09,71.5,92.9815,224.804,2.6687183479830567,-0.626490881635744,-10.408213266173405,-11.429704718117861
2011-07-15,0.5554424471774233,19.53,3.2593083637167286,9.2,0.09,71.5,93.07,224.304,2.194295786267597,-1.8128759163922314,-10.434296847313085,-10.587016903177492
2011-07-18,-0.8129889770918997,20.95,3.2593083637167286,9.2,0.09,71.5,93.07,224.304,2.4505234817794097,-1.417146772763156,-7.733021487233637,-7.304815972524869
2011-07-19,1.630870818887753,19.21,3.3997298655320307,9.2,0.09,71.5,93.07,224.304,0.39269188261348287,-5.478125369183717,-10.097757092652104,-8.578229044257169
2011-07-20,-0.0670833298063389,19.09,3.3997298655320307,9.2,0.09,71.5,93.07,224.304,-1.5801266903968325,-4.9402644126415485,-9.952177832430664,-8.066580728368988
2011-07-21,1.3546192203295335,17.56,3.3997298655320307,9.2,0.09,71.5,93.07,224.304,-3.209555240039208,-10.695795305589096,-15.117578287872668,-10.372079164929405
2011-07-22,0.090785136091398,17.52,3.3997298655320307,9.2,0.09,71.5,93.07,224.304,-3.921130501295833,-10.828092707437486,-16.467412158784544,-12.717286459999123
2011-07-25,-0.5643013271250497,19.35,3.3997298655320307,9.2,0.09,71.5,93.07,224.304,-3.7751590944583358,-16.297681674539966,-15.97168441289144,-12.87469673638565
2011-07-26,-0.4104971538103408,20.23,3.3997298655320307,9.2,0.09,71.5,93.07,224.304,-5.847853206946363,-11.968250756191857,-12.732553514482126,-10.009456293374974
