experiment_name,phase,group,hidden_size,dropout,learning_rate,best_val_loss,total_epochs,early_stopped,test_mse,test_rmse,test_r2,dir_acc,sharpe_ratio,auc_roc,alpha,pred_std,num_unique,pct_positive,pct_negative,composite_score,collapsed,evaluated
sweep_stale_h12_drop0.20_lr3,01_staleness_features_fixed,sweep1,12,0.2,0.0003,0.14159934222698212,15,True,1.1766760349273682,1.0847469568252563,7.301568984985352e-05,0.53671875,0.8329736080938573,0.5437466708886549,0.0,0.011900660621118133,1255.0,100.0,0.0,0.5804654208886549,True,True
sweep_stale_h12_drop0.20_lr5,01_staleness_features_fixed,sweep1,12,0.2,0.0005,0.14320912957191467,14,True,1.17654287815094,1.0846855640411377,0.0001862645149230957,0.53671875,0.8329736080938573,0.5492119364443495,0.0,0.007988759554771605,1230.0,100.0,0.0,0.5859306864443495,True,True
sweep_stale_h12_drop0.25_lr3,01_staleness_features_fixed,sweep1,12,0.25,0.0003,0.14145267009735107,15,True,1.176735281944275,1.0847742557525635,2.2709369659423828e-05,0.53671875,0.8329736080938573,0.5454416027845485,0.0,0.011233192412239197,1250.0,100.0,0.0,0.5821603527845485,True,True
sweep_stale_h12_drop0.25_lr5,01_staleness_features_fixed,sweep1,12,0.25,0.0005,0.14369739592075348,14,True,1.1766263246536255,1.0847240686416626,0.00011533498764038086,0.53671875,0.8329736080938573,0.5499802401133064,0.0,0.007209409559905185,1243.0,100.0,0.0,0.5866989901133064,True,True
sweep_stale_h12_drop0.30_lr3,01_staleness_features_fixed,sweep1,12,0.3,0.0003,0.1421201080083847,15,True,1.1770503520965576,1.0849195718765259,-0.00024497509002685547,0.53671875,0.8329736080938573,0.5438141736071734,0.0,0.011497499149152726,1246.0,100.0,0.0,0.5805329236071735,True,True
sweep_stale_h12_drop0.30_lr5,01_staleness_features_fixed,sweep1,12,0.3,0.0005,0.14374950528144836,14,True,1.1768147945404053,1.0848109722137451,-4.482269287109375e-05,0.53671875,0.8329736080938573,0.5478041979326986,0.0,0.007946280594554912,1242.0,100.0,0.0,0.5845229479326987,True,True
sweep_stale_h12_drop0.35_lr3,01_staleness_features_fixed,sweep1,12,0.35,0.0003,0.14372101426124573,15,True,1.1772878170013428,1.0850290060043335,-0.0004469156265258789,0.53671875,0.8329736080938573,0.5408956015228612,0.0,0.012071209976780777,1242.0,100.0,0.0,0.5776143515228612,True,True
sweep_stale_h12_drop0.35_lr5,01_staleness_features_fixed,sweep1,12,0.35,0.0005,0.14347872138023376,14,True,1.177300214767456,1.0850346088409424,-0.00045740604400634766,0.53671875,0.8329736080938573,0.5475329597364694,0.0,0.007786532625239319,1244.0,100.0,0.0,0.5842517097364694,True,True
sweep_stale_h14_drop0.15_lr3,01_staleness_features_fixed,sweep1,14,0.15,0.0003,0.15414291620254517,16,True,1.2059173583984375,1.0981427431106567,-0.02477586269378662,0.53671875,0.8329736080938573,0.47503135808105723,0.0,0.012393528166259622,1257.0,100.0,0.0,0.5117501080810573,True,True
sweep_stale_h14_drop0.15_lr5,01_staleness_features_fixed,sweep1,14,0.15,0.0005,0.15298813581466675,14,True,1.2149574756622314,1.1022510528564453,-0.03245818614959717,0.53671875,0.8329736080938573,0.47280622301425407,0.0,0.01297236561465391,1259.0,100.0,0.0,0.5095249730142541,True,True
sweep_stale_h14_drop0.20_lr3,01_staleness_features_fixed,sweep1,14,0.2,0.0003,0.15756209194660187,16,True,1.2123762369155884,1.1010795831680298,-0.030264616012573242,0.53671875,0.8329736080938573,0.47447292650058537,0.0,0.013056600258577406,1265.0,100.0,0.0,0.5111916765005854,True,True
sweep_stale_h14_drop0.20_lr5,01_staleness_features_fixed,sweep1,14,0.2,0.0005,0.16033804416656494,14,True,1.2300362586975098,1.1090699434280396,-0.045271873474121094,0.53671875,0.8329736080938573,0.47124752387755253,0.0,0.014341703307801835,1254.0,100.0,0.0,0.5079662738775526,True,True
sweep_stale_h14_drop0.25_lr3,01_staleness_features_fixed,sweep1,14,0.25,0.0003,0.16073186695575714,16,True,1.2176008224487305,1.1034494638442993,-0.03470444679260254,0.53671875,0.8329736080938573,0.4738138545034132,0.0,0.012916727090546084,1264.0,100.0,0.0,0.5105326045034132,True,True
sweep_stale_h14_drop0.25_lr5,01_staleness_features_fixed,sweep1,14,0.25,0.0005,0.16033899784088135,15,True,1.1907330751419067,1.0912071466445923,-0.011872410774230957,0.53671875,0.8329736080938573,0.4699760181250936,0.0,0.014579638195473503,1251.0,100.0,0.0,0.5066947681250936,True,True
sweep_stale_h14_drop0.30_lr3,01_staleness_features_fixed,sweep1,14,0.3,0.0003,0.16238166391849518,16,True,1.223707914352417,1.1062133312225342,-0.0398942232131958,0.53671875,0.8329736080938573,0.4742802369222687,0.0,0.013360841986337142,1259.0,100.0,0.0,0.5109989869222687,True,True
sweep_stale_h14_drop0.30_lr5,01_staleness_features_fixed,sweep1,14,0.3,0.0005,0.16061682999134064,15,True,1.1919050216674805,1.091744065284729,-0.012868404388427734,0.53671875,0.8329736080938573,0.4737414424962751,0.0,0.013975703353429913,1245.0,100.0,0.0,0.5104601924962751,True,True
sweep_stale_h14_drop0.35_lr3,01_staleness_features_fixed,sweep1,14,0.35,0.0003,0.16202527284622192,17,True,1.1937013864517212,1.0925663709640503,-0.014394879341125488,0.53671875,0.8329736080938573,0.4728062230142541,0.0,0.013679139502002715,1252.0,100.0,0.0,0.5095249730142541,True,True
sweep_stale_h14_drop0.35_lr5,01_staleness_features_fixed,sweep1,14,0.35,0.0005,0.1633380949497223,15,True,1.1957004070281982,1.0934808254241943,-0.016093730926513672,0.53671875,0.8329736080938573,0.47468648055553514,0.0,0.013163420203230754,1267.0,100.0,0.0,0.5114052305555352,True,True
sweep_stale_h16_drop0.15_lr3,01_staleness_features_fixed,sweep1,16,0.15,0.0003,0.12966415286064148,12,True,1.1785428524017334,1.0856071710586548,-0.001513361930847168,0.53515625,0.7986164022869072,0.522129845774698,-0.05869448184967041,0.024639753672775804,1267.0,99.6875,0.3125,0.557286095774698,True,True
sweep_stale_h16_drop0.15_lr5,01_staleness_features_fixed,sweep1,16,0.15,0.0005,0.14635896682739258,12,True,1.1784502267837524,1.0855644941329956,-0.0014345645904541016,0.53671875,0.8329736080938573,0.524199110927831,0.0,0.016964149369389444,1263.0,100.0,0.0,0.560917860927831,True,True
sweep_stale_h16_drop0.20_lr3,01_staleness_features_fixed,sweep1,16,0.2,0.0003,0.13037174940109253,12,True,1.1784740686416626,1.0855754613876343,-0.0014548301696777344,0.5296875,0.7291849527274684,0.520880431821027,-0.17158210277557373,0.02515835370127677,1272.0,98.984375,1.015625,0.5505679318210269,True,True
sweep_stale_h16_drop0.20_lr5,01_staleness_features_fixed,sweep1,16,0.2,0.0005,0.14793412387371063,12,True,1.1781854629516602,1.0854425430297852,-0.0012096166610717773,0.53671875,0.8329736080938573,0.5221789386608933,0.0,0.017457919109299926,1260.0,100.0,0.0,0.5588976886608933,True,True
sweep_stale_h16_drop0.25_lr3,01_staleness_features_fixed,sweep1,16,0.25,0.0003,0.13916651904582977,12,True,1.1784470081329346,1.0855629444122314,-0.0014318227767944336,0.5296875,0.722048754544868,0.5200703991988042,-0.18692362308502197,0.02566373573148812,1264.0,98.671875,1.328125,0.5497578991988041,True,True
sweep_stale_h16_drop0.25_lr5,01_staleness_features_fixed,sweep1,16,0.25,0.0005,0.14756560325622559,12,True,1.1785494089126587,1.0856101512908936,-0.001518845558166504,0.53671875,0.8329736080938573,0.521352950850657,0.0,0.018846412846116507,1268.0,100.0,0.0,0.558071700850657,True,True
sweep_stale_h16_drop0.30_lr3,01_staleness_features_fixed,sweep1,16,0.3,0.0003,0.14825326204299927,12,True,1.1786867380142212,1.085673451423645,-0.0016355514526367188,0.528125,0.712563037386907,0.5173003330952328,-0.20366334915161133,0.02775724446353854,1268.0,98.203125,1.7968749999999998,0.5454253330952328,True,True
sweep_stale_h16_drop0.30_lr5,01_staleness_features_fixed,sweep1,16,0.3,0.0005,0.14942754805088043,12,True,1.1784753799438477,1.085576057434082,-0.0014560222625732422,0.5359375,0.8146257750262408,0.5175850718351658,-0.03149151802062988,0.02126419954493549,1258.0,99.921875,0.078125,0.5535225718351657,True,True
sweep_stale_h16_drop0.35_lr3,01_staleness_features_fixed,sweep1,16,0.35,0.0003,0.1556149423122406,13,True,1.1782796382904053,1.0854859352111816,-0.0012896060943603516,0.53125,0.7585817935171956,0.51449467464917,-0.1280674934387207,0.021702641240736797,1267.0,98.828125,1.171875,0.54574467464917,True,True
sweep_stale_h16_drop0.35_lr5,01_staleness_features_fixed,sweep1,16,0.35,0.0005,0.15057753026485443,12,True,1.1784509420394897,1.0855648517608643,-0.0014352798461914062,0.53046875,0.7570541035174349,0.5154851236281607,-0.13044476509094238,0.023262603662630055,1259.0,98.75,1.25,0.5459538736281607,True,True
sweep_stale_h18_drop0.15_lr3,01_staleness_features_fixed,sweep1,18,0.15,0.0003,0.07868809998035431,12,True,1.1930716037750244,1.0922781229019165,-0.01385962963104248,0.53671875,0.8329736080938573,0.5195598331823728,0.0,0.009999931145082781,1246.0,100.0,0.0,0.5562785831823728,True,True
sweep_stale_h18_drop0.15_lr5,01_staleness_features_fixed,sweep1,18,0.15,0.0005,0.07676342129707336,11,True,1.2038472890853882,1.09719979763031,-0.023016810417175293,0.53671875,0.8329736080938573,0.5165725310573871,0.0,0.01029988384460172,1254.0,100.0,0.0,0.5532912810573871,True,True
sweep_stale_h18_drop0.20_lr3,01_staleness_features_fixed,sweep1,18,0.2,0.0003,0.076118104159832,12,True,1.1917247772216797,1.0916614532470703,-0.01271522045135498,0.53671875,0.8329736080938573,0.5212928120650677,0.0,0.010188171502544077,1246.0,100.0,0.0,0.5580115620650677,True,True
sweep_stale_h18_drop0.20_lr5,01_staleness_features_fixed,sweep1,18,0.2,0.0005,0.07460696250200272,11,True,1.2024505138397217,1.0965631008148193,-0.021829843521118164,0.53671875,0.8329736080938573,0.5174758401633811,0.0,0.010094550174635161,1252.0,100.0,0.0,0.5541945901633811,True,True
sweep_stale_h18_drop0.25_lr3,01_staleness_features_fixed,sweep1,18,0.25,0.0003,0.07344140112400055,12,True,1.1909310817718506,1.0912978649139404,-0.01204073429107666,0.53671875,0.8329736080938573,0.5217641037725429,0.0,0.009476356273403496,1248.0,100.0,0.0,0.5584828537725429,True,True
sweep_stale_h18_drop0.25_lr5,01_staleness_features_fixed,sweep1,18,0.25,0.0005,0.07395492494106293,11,True,1.2025392055511475,1.096603512763977,-0.021905183792114258,0.53671875,0.8329736080938573,0.5179103122062098,0.0,0.010042000504919013,1245.0,100.0,0.0,0.5546290622062098,True,True
sweep_stale_h18_drop0.30_lr3,01_staleness_features_fixed,sweep1,18,0.3,0.0003,0.07154946774244308,12,True,1.1907283067703247,1.0912050008773804,-0.01186835765838623,0.53671875,0.8329736080938573,0.5221654381171896,0.0,0.00900577926219183,1245.0,100.0,0.0,0.5588841881171897,True,True
sweep_stale_h18_drop0.30_lr5,01_staleness_features_fixed,sweep1,18,0.3,0.0005,0.07639269530773163,11,True,1.2024083137512207,1.096543788909912,-0.02179396152496338,0.53671875,0.8329736080938573,0.5187448912715303,0.0,0.009734652693262309,1248.0,100.0,0.0,0.5554636412715304,True,True
sweep_stale_h18_drop0.35_lr3,01_staleness_features_fixed,sweep1,18,0.35,0.0003,0.06970367580652237,12,True,1.1908962726593018,1.0912818908691406,-0.012011051177978516,0.53671875,0.8329736080938573,0.5221789386608933,0.0,0.00874098412169695,1256.0,100.0,0.0,0.5588976886608933,True,True
sweep_stale_h18_drop0.35_lr5,01_staleness_features_fixed,sweep1,18,0.35,0.0005,0.07839316129684448,11,True,1.2022278308868408,1.096461534500122,-0.021640539169311523,0.53671875,0.8329736080938573,0.5188749874199479,0.0,0.00941433679311724,1247.0,100.0,0.0,0.5555937374199479,True,True
sweep_stale_h20_drop0.15_lr3,01_staleness_features_fixed,sweep1,20,0.15,0.0003,0.16965502500534058,13,True,1.2095363140106201,1.0997892618179321,-0.027851223945617676,0.46328125,0.0,0.46036240368589393,-0.9216080904006958,0.01540708258274059,1257.0,0.0,100.0,0.4236436536858939,True,True
sweep_stale_h20_drop0.15_lr5,01_staleness_features_fixed,sweep1,20,0.15,0.0005,0.16961118578910828,12,True,1.229317545890808,1.1087459325790405,-0.04466116428375244,0.46328125,0.0,0.45851037455417526,-0.9216080904006958,0.01609344831965335,1257.0,0.0,100.0,0.42179162455417524,True,True
sweep_stale_h20_drop0.20_lr3,01_staleness_features_fixed,sweep1,20,0.2,0.0003,0.17012587189674377,13,True,1.215480089187622,1.1024881601333618,-0.03290212154388428,0.46328125,0.0,0.4616768657137737,-0.9216080904006958,0.014300392566412797,1256.0,0.0,100.0,0.4249581157137737,True,True
sweep_stale_h20_drop0.20_lr5,01_staleness_features_fixed,sweep1,20,0.2,0.0005,0.1715436428785324,12,True,1.2407501935958862,1.1138896942138672,-0.05437648296356201,0.46328125,0.0,0.46032926598771207,-0.9216080904006958,0.014867295479529512,1248.0,0.0,100.0,0.42361051598771204,True,True
sweep_stale_h20_drop0.25_lr3,01_staleness_features_fixed,sweep1,20,0.25,0.0003,0.17147625982761383,13,True,1.2239408493041992,1.1063185930252075,-0.0400921106338501,0.46328125,0.0,0.4655539764010497,-0.9216080904006958,0.014583655077478176,1253.0,0.0,100.0,0.42883522640104965,True,True
sweep_stale_h20_drop0.25_lr5,01_staleness_features_fixed,sweep1,20,0.25,0.0005,0.17180296778678894,13,True,1.1782492399215698,1.0854718685150146,-0.0012638568878173828,0.53671875,0.8329736080938573,0.46520664423121766,0.0,0.013353298044330749,1245.0,100.0,0.0,0.5019253942312176,True,True
sweep_stale_h20_drop0.30_lr3,01_staleness_features_fixed,sweep1,20,0.3,0.0003,0.1730753481388092,13,True,1.2334446907043457,1.1106055974960327,-0.048168301582336426,0.46328125,0.0,0.4684664118745873,-0.9216080904006958,0.015359235886136857,1252.0,0.0,100.0,0.4317476618745873,True,True
sweep_stale_h20_drop0.30_lr5,01_staleness_features_fixed,sweep1,20,0.3,0.0005,0.17274141311645508,13,True,1.1783668994903564,1.0855261087417603,-0.0013637542724609375,0.53671875,0.8329736080938573,0.467892025106102,0.0,0.015220744283182179,1263.0,100.0,0.0,0.504610775106102,True,True
sweep_stale_h20_drop0.35_lr3,01_staleness_features_fixed,sweep1,20,0.35,0.0003,0.17618012428283691,14,True,1.1807286739349365,1.086613416671753,-0.0033707618713378906,0.46953125,0.28823813632227707,0.46873396810435186,-0.7565748691558838,0.01479320537767355,1254.0,54.0625,45.9375,0.4382652181043519,True,True
