experiment_name,experiment_path,phase,hidden_size,attention_heads,dropout,max_encoder_length,learning_rate,batch_size,max_epochs,feature_set,frequency,alignment,regime_enabled,num_regimes,routing_strategy,routing_mode,vix_threshold,vix_threshold_low,vix_threshold_high,expert_hidden_size,hard_routing_train,load_balance_weight,dist_loss_std_weight,directional_weight,freeze_backbone,load_checkpoint,best_val_loss,total_epochs,early_stopped,evaluated,pred_min,pred_max,pred_mean,pred_std,pred_range,pred_unique,pred_pct_positive,pred_pct_negative,test_mse,test_rmse,test_r2,test_mae,directional_accuracy,sharpe_ratio,alpha,auc_roc,max_drawdown,total_return,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,total_days,problematic_pct,final_pred_std,final_pred_mean,final_pct_positive,final_num_unique,final_attention_entropy,final_routing_entropy,final_dominant_regime_pct,final_vix_correlation,final_expert_0_std,final_expert_1_std,final_expert_0_mean,final_expert_1_mean,final_expert_weight_diff,final_expert_weight_cosine,final_expert_2_std,final_expert_2_mean,composite_score,min_expert_std,max_expert_std,any_expert_collapsed
vix2r_d010_t20_hr,experiments/05a_regime_output/vix2r_d010_t20_hr,05a_regime_output,16,2,0.1,20,0.0005,64,100,core_proposal,daily,vintage,True,2,vix_threshold,learned,20.0,,,0,True,0.0,0.0,0.0,False,False,0.37417319416999817,80,True,True,-0.639861,0.450267,-0.131035,0.448408,1.090128,1282,42.82371294851794,57.176287051482056,1.395603060722351,1.181356430053711,-0.18776214122772217,0.902937650680542,0.48049921996879874,0.6219049582906708,-0.4192025661468506,0.49438416748862524,-0.19460782408714294,0.5120531320571899,58.11232449297972,9.048361934477379,32.8393135725429,0.0,0.0,1282,41.88767550702028,0.24426451325416565,0.09279488772153854,94.22776911076443,1281,2.7626242637634277,0.0,87.96875,0.8006432350209167,0.20819678902626038,0.3462909758090973,0.11827471107244492,-0.961414635181427,2.548297643661499,0.10059390962123871,,,0.5489079563182527,0.20819678902626038,0.3462909758090973,False
vix2r_d010_t20,experiments/05a_regime_output/vix2r_d010_t20,05a_regime_output,16,2,0.1,20,0.0005,64,100,core_proposal,daily,vintage,True,2,vix_threshold,learned,20.0,,,0,False,0.0,0.0,0.0,False,False,0.37417319416999817,80,True,True,-0.639861,0.450267,-0.131035,0.448408,1.090128,1282,42.82371294851794,57.176287051482056,1.395603060722351,1.181356430053711,-0.18776214122772217,0.902937650680542,0.48049921996879874,0.6219049582906708,-0.4192025661468506,0.49438416748862524,-0.19460782408714294,0.5120531320571899,58.11232449297972,9.048361934477379,32.8393135725429,0.0,0.0,1282,41.88767550702028,0.24426451325416565,0.09279488772153854,94.22776911076443,1281,2.7626242637634277,0.0,87.96875,0.8006432350209167,0.20819678902626038,0.3462909758090973,0.11827471107244492,-0.961414635181427,2.548297643661499,0.10059390962123871,,,0.5489079563182527,0.20819678902626038,0.3462909758090973,False
vix3r_d025_t14_23,experiments/05a_regime_output/vix3r_d025_t14_23,05a_regime_output,16,2,0.25,20,0.0005,64,100,core_proposal,daily,vintage,True,3,vix_threshold,learned,25.0,14.0,23.0,0,False,0.0,0.0,0.0,False,False,0.36275485157966614,93,True,True,-0.602702,0.48456,-0.107442,0.317865,1.087262,1282,26.365054602184085,73.63494539781591,1.2920773029327393,1.1366957426071167,-0.09965407848358154,0.8428151607513428,0.4781591263650546,0.47563486499864177,-0.6191647052764893,0.490088771516752,-0.14729660749435425,0.31209099292755127,53.042121684867396,15.132605304212168,31.825273010920434,0.0,0.0,1282,46.957878315132604,0.26644638180732727,0.0663359984755516,82.68330733229328,1279,2.9418742656707764,0.0,58.4375,0.4067413076052764,0.09334491938352585,0.4799952805042267,0.14144892990589142,-0.35052722692489624,2.059690237045288,0.08027023822069168,0.24697929620742798,-0.9578342437744141,0.5345553822152886,0.09334491938352585,0.4799952805042267,False
vix3r_d025_t14_23_hr,experiments/05a_regime_output/vix3r_d025_t14_23_hr,05a_regime_output,16,2,0.25,20,0.0005,64,100,core_proposal,daily,vintage,True,3,vix_threshold,learned,25.0,14.0,23.0,0,True,0.0,0.0,0.0,False,False,0.36275485157966614,93,True,True,-0.602702260017395,0.48456045985221863,-0.10744249075651169,0.3178645968437195,1.087262749671936,1279,26.365054602184085,73.63494539781591,1.2920773029327393,1.1366957426071167,-0.09965407848358154,0.8428151607513428,0.4781591263650546,0.47563486499864177,-0.6191647052764893,0.490088771516752,-0.14729660749435425,0.31209099292755127,53.042121684867396,15.132605304212168,31.825273010920434,0.0,0.0,1282,46.957878315132604,0.26644638180732727,0.0663359984755516,82.68330733229328,1279,2.9418742656707764,0.0,58.4375,0.4067413076052764,0.09334491938352585,0.4799952805042267,0.14144892990589142,-0.35052722692489624,2.059690237045288,0.08027023822069168,0.24697929620742798,-0.9578342437744141,0.5345553822152886,0.09334491938352585,0.4799952805042267,False
vix2r_d025_t20_mlp_hr,experiments/05a_regime_output/vix2r_d025_t20_mlp_hr,05a_regime_output,16,2,0.25,20,0.0005,64,100,core_proposal,daily,vintage,True,2,vix_threshold,learned,20.0,,,16,True,0.0,0.0,0.0,False,False,0.37519773840904236,74,True,True,-0.6134653091430664,0.3836574852466583,-0.16619670391082764,0.4379643499851227,0.9971227645874023,1280,42.82371294851794,57.176287051482056,1.4005745649337769,1.183458685874939,-0.1919933557510376,0.9102722406387329,0.47737909516380655,0.5574128209230025,-0.49179792404174805,0.48723006924031453,-0.19726355373859406,0.4394577741622925,54.52418096723869,7.800312012480499,37.67550702028081,0.0,0.0,1282,45.47581903276131,0.2391764223575592,0.06567148119211197,93.29173166926678,1277,2.9782638549804688,0.0,87.96875,0.8006432350209167,0.20929469168186188,0.34699925780296326,0.10565970838069916,-0.9494860768318176,3.821179151535034,0.09955719858407974,,,0.5269110764430577,0.20929469168186188,0.34699925780296326,False
vix2r_d025_t20_mlp,experiments/05a_regime_output/vix2r_d025_t20_mlp,05a_regime_output,16,2,0.25,20,0.0005,64,100,core_proposal,daily,vintage,True,2,vix_threshold,learned,20.0,,,16,False,0.0,0.0,0.0,False,False,0.37519773840904236,74,True,True,-0.613465,0.383657,-0.166197,0.437964,0.9971220000000001,1281,42.82371294851794,57.176287051482056,1.4005745649337769,1.183458685874939,-0.1919933557510376,0.9102722406387329,0.47737909516380655,0.5574128209230025,-0.49179792404174805,0.48723006924031453,-0.19726355373859406,0.4394577741622925,54.52418096723869,7.800312012480499,37.67550702028081,0.0,0.0,1282,45.47581903276131,0.2391764223575592,0.06567148119211197,93.29173166926678,1277,2.9782638549804688,0.0,87.96875,0.8006432350209167,0.20929469168186188,0.34699925780296326,0.10565970838069916,-0.9494860768318176,3.821179151535034,0.09955719858407974,,,0.5269110764430577,0.20929469168186188,0.34699925780296326,False
vix2r_d010_t15_hr,experiments/05a_regime_output/vix2r_d010_t15_hr,05a_regime_output,16,2,0.1,20,0.0005,64,100,core_proposal,daily,vintage,True,2,vix_threshold,learned,15.0,,,0,True,0.0,0.0,0.0,False,False,0.3798156678676605,86,True,True,-0.236174,0.237541,0.068466,0.135116,0.473715,1282,71.996879875195,28.003120124804994,1.1993741989135742,1.0951594114303589,-0.020756840705871582,0.7837147116661072,0.5054602184087363,0.49322355446981475,-0.5549989938735962,0.49411249287160075,-0.2524595558643341,0.37625670433044434,33.073322932917314,19.734789391575664,47.19188767550702,0.0,0.0,1282,66.9266770670827,0.15893538296222687,0.12143434584140778,84.08736349453977,1281,2.9456028938293457,0.0,67.8125,0.7904283255456892,0.08824258297681808,0.22656044363975525,0.15609577298164368,-0.3135192394256592,2.488994836807251,0.11484791338443756,,,0.45756630265210607,0.08824258297681808,0.22656044363975525,False
vix2r_d010_t15,experiments/05a_regime_output/vix2r_d010_t15,05a_regime_output,16,2,0.1,20,0.0005,64,100,core_proposal,daily,vintage,True,2,vix_threshold,learned,15.0,,,0,False,0.0,0.0,0.0,False,False,0.3798156678676605,86,True,True,-0.236174,0.237541,0.068466,0.135116,0.473715,1282,71.996879875195,28.003120124804994,1.1993741989135742,1.0951594114303589,-0.020756840705871582,0.7837147116661072,0.5054602184087363,0.49322355446981475,-0.5549989938735962,0.49411249287160075,-0.2524595558643341,0.37625670433044434,33.073322932917314,19.734789391575664,47.19188767550702,0.0,0.0,1282,66.9266770670827,0.15893538296222687,0.12143434584140778,84.08736349453977,1281,2.9456028938293457,0.0,67.8125,0.7904283255456892,0.08824258297681808,0.22656044363975525,0.15609577298164368,-0.3135192394256592,2.488994836807251,0.11484791338443756,,,0.45756630265210607,0.08824258297681808,0.22656044363975525,False
vix2r_d025_t15_hr,experiments/05a_regime_output/vix2r_d025_t15_hr,05a_regime_output,16,2,0.25,20,0.0005,64,100,core_proposal,daily,vintage,True,2,vix_threshold,learned,15.0,,,0,True,0.0,0.0,0.0,False,False,0.37747541069984436,89,True,True,-0.28921636939048767,0.23909470438957214,0.11127056181430817,0.16161443293094635,0.5283110737800598,1277,81.82527301092044,18.174726989079563,1.2101846933364868,1.1000839471817017,-0.02995741367340088,0.7908286452293396,0.5179407176287052,0.7177653324853835,-0.25148606300354004,0.4965012714861581,-0.2524595558643341,0.6797696352005005,30.34321372854914,9.360374414976599,60.296411856474265,0.0,0.0,1282,69.65678627145085,0.16697634756565094,0.06651303917169571,84.399375975039,1282,2.9565258026123047,0.0,67.8125,0.7904283255456892,0.11597105115652084,0.26776376366615295,0.12932661175727844,-0.41835981607437134,2.438788652420044,0.1397857964038849,,,0.4294071762870515,0.11597105115652084,0.26776376366615295,False
vix2r_d025_t15,experiments/05a_regime_output/vix2r_d025_t15,05a_regime_output,16,2,0.25,20,0.0005,64,100,core_proposal,daily,vintage,True,2,vix_threshold,learned,15.0,,,0,False,0.0,0.0,0.0,False,False,0.37747541069984436,89,True,True,-0.289216,0.239095,0.111271,0.161614,0.528311,1282,81.82527301092044,18.174726989079563,1.2101846933364868,1.1000839471817017,-0.02995741367340088,0.7908286452293396,0.5179407176287052,0.7177653324853835,-0.25148606300354004,0.4965012714861581,-0.2524595558643341,0.6797696352005005,30.34321372854914,9.360374414976599,60.296411856474265,0.0,0.0,1282,69.65678627145085,0.16697634756565094,0.06651303917169571,84.399375975039,1282,2.9565258026123047,0.0,67.8125,0.7904283255456892,0.11597105115652084,0.26776376366615295,0.12932661175727844,-0.41835981607437134,2.438788652420044,0.1397857964038849,,,0.4294071762870515,0.11597105115652084,0.26776376366615295,False
vix2r_d025_t15_mlp,experiments/05a_regime_output/vix2r_d025_t15_mlp,05a_regime_output,16,2,0.25,20,0.0005,64,100,core_proposal,daily,vintage,True,2,vix_threshold,learned,15.0,,,16,False,0.0,0.0,0.0,False,False,0.38156217336654663,87,True,True,-0.185056,0.279854,0.093112,0.12925,0.46491,1282,79.87519500780031,20.12480499219969,1.190123438835144,1.0909278392791748,-0.012883782386779785,0.7807771563529968,0.517160686427457,0.7123952652919385,-0.23637843132019043,0.5002631083002714,-0.2524595558643341,0.6948772668838501,30.733229329173167,4.99219968798752,64.27457098283932,0.0,0.0,1282,69.26677067082683,0.13512954115867615,0.11271641403436661,85.56942277691107,1278,2.9765067100524902,0.0,67.8125,0.7904283255456892,0.08653832226991653,0.16013354063034058,0.14812175929546356,-0.21098080277442932,3.8183062076568604,0.0069617219269275665,,,0.4222308892355694,0.08653832226991653,0.16013354063034058,False
vix2r_d025_t15_mlp_hr,experiments/05a_regime_output/vix2r_d025_t15_mlp_hr,05a_regime_output,16,2,0.25,20,0.0005,64,100,core_proposal,daily,vintage,True,2,vix_threshold,learned,15.0,,,16,True,0.0,0.0,0.0,False,False,0.38156217336654663,87,True,True,-0.18505644798278809,0.27985358238220215,0.09311159700155258,0.12924988567829132,0.46491003036499023,1279,79.87519500780031,20.12480499219969,1.190123438835144,1.0909278392791748,-0.012883782386779785,0.7807771563529968,0.517160686427457,0.7123952652919385,-0.23637843132019043,0.5002631083002714,-0.2524595558643341,0.6948772668838501,30.733229329173167,4.99219968798752,64.27457098283932,0.0,0.0,1282,69.26677067082683,0.13512954115867615,0.11271641403436661,85.56942277691107,1278,2.9765067100524902,0.0,67.8125,0.7904283255456892,0.08653832226991653,0.16013354063034058,0.14812175929546356,-0.21098080277442932,3.8183062076568604,0.0069617219269275665,,,0.4222308892355694,0.08653832226991653,0.16013354063034058,False
vix2r_d010_t15_mlp,experiments/05a_regime_output/vix2r_d010_t15_mlp,05a_regime_output,16,2,0.1,20,0.0005,64,100,core_proposal,daily,vintage,True,2,vix_threshold,learned,15.0,,,16,False,0.0,0.0,0.0,False,False,0.3780626654624939,83,True,True,-0.374558,0.343822,0.184623,0.236961,0.71838,1281,81.04524180967239,18.954758190327613,1.2482960224151611,1.1172716617584229,-0.0623929500579834,0.8101621866226196,0.514820592823713,0.7544831159147718,-0.17184853553771973,0.48498814177009475,-0.2524595558643341,0.7594071626663208,27.301092043681745,7.800312012480499,64.89859594383776,0.0,0.0,1282,72.69890795631825,0.18247249722480774,0.07558850944042206,87.5195007800312,1277,2.9161598682403564,0.0,67.8125,0.7904283255456892,0.19475924968719482,0.3300498425960541,0.18928936123847961,-0.4888375401496887,3.6465017795562744,0.12507249414920807,,,0.4095163806552262,0.19475924968719482,0.3300498425960541,False
vix2r_d010_t15_mlp_hr,experiments/05a_regime_output/vix2r_d010_t15_mlp_hr,05a_regime_output,16,2,0.1,20,0.0005,64,100,core_proposal,daily,vintage,True,2,vix_threshold,learned,15.0,,,16,True,0.0,0.0,0.0,False,False,0.3780626654624939,83,True,True,-0.374558,0.343822,0.184623,0.236961,0.71838,1281,81.04524180967239,18.954758190327613,1.2482960224151611,1.1172716617584229,-0.0623929500579834,0.8101621866226196,0.514820592823713,0.7544831159147718,-0.17184853553771973,0.48498814177009475,-0.2524595558643341,0.7594071626663208,27.301092043681745,7.800312012480499,64.89859594383776,0.0,0.0,1282,72.69890795631825,0.18247249722480774,0.07558850944042206,87.5195007800312,1277,2.9161598682403564,0.0,67.8125,0.7904283255456892,0.19475924968719482,0.3300498425960541,0.18928936123847961,-0.4888375401496887,3.6465017795562744,0.12507249414920807,,,0.4095163806552262,0.19475924968719482,0.3300498425960541,False
learn2r_d010_lb2,experiments/05a_regime_output/learn2r_d010_lb2,05a_regime_output,16,2,0.1,20,0.0005,64,100,core_proposal,daily,vintage,True,2,learned,learned,25.0,,,0,False,2.0,0.0,0.0,False,False,0.39163392782211304,100,False,True,-0.045038,0.29191,0.114671,0.079543,0.336948,1282,95.86583463338533,4.134165366614664,1.1887500286102295,1.0902981758117676,-0.011714935302734375,0.7758165597915649,0.5288611544461779,0.8220041398386954,-0.04219257831573486,0.46220663424519737,-0.2524595558643341,0.8890631198883057,24.726989079563182,9.282371294851794,65.83463338533542,0.15600624024961,0.0,1282,75.27301092043682,0.05660766735672951,0.10103689134120941,100.0,1276,2.9177513122558594,0.9947816191640306,84.0625,-0.6972840556828405,0.08403646945953369,0.0728369951248169,0.3422029912471771,-0.23830561339855194,2.237604856491089,0.4580495357513428,,,0.4069422776911077,0.0728369951248169,0.08403646945953369,False
learn3r_d010_lb0,experiments/05a_regime_output/learn3r_d010_lb0,05a_regime_output,16,2,0.1,20,0.0005,64,100,core_proposal,daily,vintage,True,3,learned,learned,25.0,,,0,False,0.0,0.0,0.0,False,False,0.39308789372444153,91,True,True,-0.138516,0.188179,0.075043,0.039189,0.326695,1282,95.86583463338533,4.134165366614664,1.1779252290725708,1.085322618484497,-0.0025022029876708984,0.7698372602462769,0.5351014040561622,0.6516636593021504,-0.3485985994338989,0.542727564204544,-0.2938287854194641,0.5826570987701416,13.494539781591264,19.81279251170047,58.11232449297972,6.708268330733229,1.87207488299532,1282,86.50546021840873,0.024927599355578423,0.09607041627168655,99.9219968798752,1271,2.8962864875793457,0.9098779460061367,100.0,-0.9001365471041519,0.021114839240908623,0.09178290516138077,0.2155419886112213,-0.38430479168891907,2.374371290206909,0.24601010978221893,0.03108588233590126,-0.009850198403000832,0.39180967238689546,0.021114839240908623,0.09178290516138077,False
