experiment,frequency,hidden_size,dropout,learning_rate,val_loss,epochs,early_stopped,sharpe,dir_acc,mse,r2,evaluated
sweep_stale_h16_drop0.20_lr3,daily,16,0.2,0.0003,0.13037174940109253,12,True,0.7291849527274684,0.5296875,1.1784740686416626,-0.0014548301696777344,True
sweep_stale_h16_drop0.20_lr5,daily,16,0.2,0.0005,0.14793412387371063,12,True,0.8329736080938573,0.53671875,1.1781854629516602,-0.0012096166610717773,True
sweep_stale_h16_drop0.25_lr3,daily,16,0.25,0.0003,0.13916651904582977,12,True,0.722048754544868,0.5296875,1.1784470081329346,-0.0014318227767944336,True
sweep_stale_h16_drop0.25_lr5,daily,16,0.25,0.0005,0.14756560325622559,12,True,0.8329736080938573,0.53671875,1.1785494089126587,-0.001518845558166504,True
sweep_stale_h16_drop0.30_lr3,daily,16,0.3,0.0003,0.14825326204299927,12,True,0.712563037386907,0.528125,1.1786867380142212,-0.0016355514526367188,True
sweep_stale_h16_drop0.30_lr5,daily,16,0.3,0.0005,0.14942754805088043,12,True,0.8146257750262408,0.5359375,1.1784753799438477,-0.0014560222625732422,True
sweep_stale_h16_drop0.35_lr3,daily,16,0.35,0.0003,0.1556149423122406,13,True,0.7585817935171956,0.53125,1.1782796382904053,-0.0012896060943603516,True
sweep_stale_h16_drop0.35_lr5,daily,16,0.35,0.0005,0.15057753026485443,12,True,0.7570541035174349,0.53046875,1.1784509420394897,-0.0014352798461914062,True
sweep_stale_h18_drop0.15_lr3,daily,18,0.15,0.0003,0.07868809998035431,12,True,0.8329736080938573,0.53671875,1.1930716037750244,-0.01385962963104248,True
sweep_stale_h18_drop0.15_lr5,daily,18,0.15,0.0005,0.07676342129707336,11,True,0.8329736080938573,0.53671875,1.2038472890853882,-0.023016810417175293,True
sweep_stale_h18_drop0.20_lr3,daily,18,0.2,0.0003,0.076118104159832,12,True,0.8329736080938573,0.53671875,1.1917247772216797,-0.01271522045135498,True
sweep_stale_h18_drop0.20_lr5,daily,18,0.2,0.0005,0.07460696250200272,11,True,0.8329736080938573,0.53671875,1.2024505138397217,-0.021829843521118164,True
sweep_stale_h18_drop0.25_lr3,daily,18,0.25,0.0003,0.07344140112400055,12,True,0.8329736080938573,0.53671875,1.1909310817718506,-0.01204073429107666,True
sweep_stale_h18_drop0.25_lr5,daily,18,0.25,0.0005,0.07395492494106293,11,True,0.8329736080938573,0.53671875,1.2025392055511475,-0.021905183792114258,True
sweep_stale_h18_drop0.30_lr3,daily,18,0.3,0.0003,0.07154946774244308,12,True,0.8329736080938573,0.53671875,1.1907283067703247,-0.01186835765838623,True
sweep_stale_h18_drop0.30_lr5,daily,18,0.3,0.0005,0.07639269530773163,11,True,0.8329736080938573,0.53671875,1.2024083137512207,-0.02179396152496338,True
sweep_stale_h18_drop0.35_lr3,daily,18,0.35,0.0003,0.06970367580652237,12,True,0.8329736080938573,0.53671875,1.1908962726593018,-0.012011051177978516,True
